Column1,index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,Warrant,shortest name,url name, smart_order ,random csv equations,pure name,shortest - pure diff,order,first_letter
,,6038.HK,G & M Holdings Ltd,HKD,HKSE,Capital Goods,"G & M Holdings Limited, an investment holding company, provides design and build, and repair and maintenance services in relation to podium facade and curtain wall works in Hong Kong and the People's Republic of China. It undertakes design and build project works, such as developing facade or curtain wall system design, structural calculation and shop drawings, sourcing and procurement of materials, arrangement for material fabrication and processing, installation works, and post-completion maintenance services. The company also offers inspection and consultancy services. G & M Holdings Limited was founded in 1993 and is headquartered in Kwai Chung, Hong Kong.",Construction,HK,6/13/2017,G & M Holdings Ltd,,,,0.146,146000000.0,G & M Holdings Ltd,HKD,G & M Holdings Ltd,G & M Holdings Ltd,,G & M Holdings Ltd,6038.hk,,,G & M Holdings Ltd,,10046,6
,,6030.HK,CITIC SEC,HKD,HKSE,Capital Markets,"CITIC Securities Company Limited provides various financial products and services in Mainland China and internationally. It operates through Investment Banking, Brokerage, Trading, Asset Management, and Others segments. The company offers investment banking services, including equity and debt financing, and asset-backed securitization, as well as fund raising and financial advisory services to a range of enterprises and other institutional clients. It is also involved in broking of securities and futures; distribution of financial products; and trading and market-making of equity products, fixed income products and derivatives, foreign exchange, margin financing and securities lending, alternative investment, and commodities business. In addition, the company offers asset management services, such as CAM, SAM, SMA, fund management, and other investment accounts management; private equity investment and other services; and custody and research services. Further, it provides institutional brokerage, investment advisory and management, investment consultancy, fiduciary management, fund, real estate, business training, and financial products and securities investment services. Additionally, the company offers catering, accommodation, convention, and exhibition services; micro financing, finance outsourcing, bond issuance, offshore portfolio hedge and investment fund, fund distribution, leveraged foreign exchange and other transactions, investment with self-owned capital, cash transactions, property management and leasing, and other services. It also engages in the computer hardware and software technology development, technical consulting, technical service, system integration and sales, data processing, and research and development of financial products, portfolio design, and consulting activities. The company has strategic cooperation agreement with Singapore Exchange Limited. The company was founded in 1995 and is based in Shenzhen, the People's Republic of China.",Financial Services,CN,,CITIC SEC,,,,17.72,397000000000.0,CITIC SEC,HKD,CITIC SEC,CITIC SEC,,CITIC SEC,6030.hk,,,CITIC SEC,,10343,6
,,6033.HK,Telecom Digital Holdings Ltd,HKD,HKSE,Retailing,"Telecom Digital Holdings Limited, an investment holding company, engages in the telecommunications and related businesses in Hong Kong and Macau. The company operates through four segments: Retail Business, Distribution Business, Paging and Other Telecommunications Services, and Operation Services. The Retail Business segment sells mobile phones and other consumer goods, as well as provides related services. The Distribution Business segment distributes mobiles phones; and offers related services. The Paging and Other Telecommunications Services segment sells pagers and Mango devices, as well as provides paging, maintenance, and two-way wireless data services. The Operation Services segment is involved in the provision of operation services. The company also provides installation, maintenance, and management services for paging transmission stations; technical support services; and management consultancy and professional services. In addition, it is involved in e-commerce business; and invests in properties. As of March 31, 2020, it operated 80 retail shops. The company was founded in 1974 and is headquartered in Kowloon Bay, Hong Kong. Telecom Digital Holdings Limited is a subsidiary of CKK Investment Limited.",Retail,HK,5/30/2014,Telecom Digital Holdings Ltd,,,,2.23,900369150.0,Telecom Digital Holdings Ltd,HKD,Telecom Digital Holdings Ltd,Telecom Digital Holdings Ltd,,Telecom Digital Holdings Ltd,6033.hk,,,Telecom Digital Holdings Ltd,,10344,6
,,6036.HK,Apex Ace Holding Ltd,HKD,HKSE,Technology Hardware & Equipment,"Apex Ace Holding Limited, an investment holding company, sells electronic components in Hong Kong, the People's Republic of China, and internationally. The company operates through two segments: Digital Storage Products and General Components. It offers DRAM, flash, and MCP memory products for multimedia and mobile devices, such as set-top boxes, smart TVs, wearables devices, mobile phones, etc. The company also provides switches, connectors, passive components, main chips, sensors, power semiconductors, and analog-to-digital converters for use in the mobile and multimedia devices. In addition, it is involved in the properties holding activities; and provision of related supporting services. The company was founded in 2005 and is headquartered in Kowloon, Hong Kong. Apex Ace Holding Limited is a subsidiary of Best Sheen Limited.",Electrical Equipment,HK,3/16/2018,Apex Ace Holding Ltd,,,,0.217,217000000.0,Apex Ace Holding Ltd,HKD,Apex Ace Holding Ltd,Apex Ace Holding Ltd,,Apex Ace Holding Ltd,6036.hk,,,Apex Ace Holding Ltd,,10345,6
,,6049.HK,Poly Property Services Co Ltd,HKD,HKSE,Real Estate,"Poly Property Services Co., Ltd. provides property management services in the People's Republic of China. The company provides services for residential communities, commercial and office buildings, and public and other properties under the Harmony Courtyard, Oriental Courtesy, Nebula Ecology, and Towns Revitalisation brands. It also offers community and value-added services to non-property owners, such as pre-delivery services to property developers that includes visitor reception, cleaning, and security inspection and maintenance, as well as consultancy, inspection, delivery, and commercial operation services. In addition, the company provides fitness, elderly and disabled care, landscaping, and catering management services. As of December 31, 2019, it had a total of 1,490 contracted projects with an aggregate contracted gross floor area of 498.1 million square meters covering 170 cities across 29 provinces, municipalities, and autonomous regions in China. The company was formerly known as Poly Property Development Co., Ltd. and changed its name to Poly Property Services Co., Ltd. in July 2020. The company was founded in 1996 and is based in Guangzhou, China. Poly Property Services Co., Ltd. is a subsidiary of Poly Developments and Holdings Group Co., Ltd.",Real Estate,CN,12/19/2019,Poly Property Services Co Ltd,,,,54.1,29935314900.0,Poly Property Services Co Ltd,HKD,Poly Property Services Co Ltd,Poly Property Services Co Ltd,,Poly Property Services Co Ltd,6049.hk,,,Poly Property Services Co Ltd,,10346,6
,,6055.HK,China Tobacco International HK Co Ltd,HKD,HKSE,Retailing,"China Tobacco International (HK) Company Limited engages in the trade of tobacco products. The company operates through four segments: Tobacco Leaf Products Export Business, Tobacco Leaf Products Import Business, Cigarettes Export Business, and New Tobacco Products Export Business. The Tobacco Leaf Products Export Business segment procures and exports tobacco leaf products to cigarette manufacturers and authorized purchasing agents of cigarette manufacturers. The Tobacco Leaf Products Import Business segment imports tobacco leaf products to mainland China. The Cigarettes Export Business segment exports cigarettes to duty-free outlets. The New Tobacco Products Export Business segment exports new tobacco products worldwide. It operates in the People's Republic of China, Indonesia, Hong Kong, the Philippines, Vietnam, Singapore, Thailand, and internationally. The company was founded in 2004 and is headquartered in Kowloon, Hong Kong. China Tobacco International (HK) Company Limited is a subsidiary of China Tobacco International Group Limited.",Distributors,HK,6/12/2019,China Tobacco International HK Co Ltd,,,,16.6,11481888800.0,China Tobacco International HK Co Ltd,HKD,China Tobacco International HK Co Ltd,China Tobacco International HK Co Ltd,,China Tobacco International HK Co Ltd,6055.hk,,,China Tobacco International HK Co Ltd,,10347,6
,,6058.HK,China Industrial Securities International Financial Group Ltd,HKD,HKSE,Diversified Financials,"China Industrial Securities International Financial Group Limited provides a range of financial services in Hong Kong. Its Brokerage segment engages in the provision of securities, futures, and options, as well as insurance brokerage services. The company's Loans and Financing segment provides margin financing, and secured or unsecured loans to customers. Its Investment Banking segment offers corporate advisory, sponsor, placing, and underwriting services of debt and equity securities, as well as structured products arrangement services. The company's Assets Management segment provides fund management, discretionary account management, and investment advisory services. Its Financial Products and Investments segment trades and invests in funds, debt and equity securities, fixed income, derivatives, and other financial products. China Industrial Securities International Financial Group Limited was founded in 2011 and is based in Central, Hong Kong. China Industrial Securities International Financial Group Limited is a subsidiary of China Industrial Securities International Holdings Limited.",Financial Services,HK,10/20/2016,China Industrial Securities International Financial Group Ltd,,,,0.27,1080000000.0,China Industrial Securities International Financial Group Ltd,HKD,China Industrial Securities International Financial Group Ltd,China Industrial Securities International Financial Group Ltd,,China Industrial Securities International Financial Group Ltd,6058.hk,,,China Industrial Securities International Financial Group Ltd,,10348,6
,,6060.HK,ZhongAn Online P & C Insurance Co Ltd,HKD,HKSE,Insurance,"ZhongAn Online P & C Insurance Co., Ltd., an online insuretech company, provides internet insurance and information technology services in the People's Republic of China. The company operates through Insurance, Technology, and Others segments. It offers property and casualty insurance products covering accident, bond and credit, health, liability, cargo, household property, and motor insurance, as well as shipping return policy insurance. The company also provides technology development and consulting, asset management, IT consulting, telemedicine, bio technology, online medical, life insurance, micro and virtual financing, and insurance broking services. ZhongAn Online P & C Insurance Co., Ltd. was founded in 2013 and is headquartered in Shanghai, the People's Republic of China.",Insurance,CN,9/28/2017,ZhongAn Online P & C Insurance Co Ltd,,,,55.5,81574461000.0,ZhongAn Online P & C Insurance Co Ltd,HKD,ZhongAn Online P & C Insurance Co Ltd,ZhongAn Online P & C Insurance Co Ltd,,ZhongAn Online P & C Insurance Co Ltd,6060.hk,,,ZhongAn Online P & C Insurance Co Ltd,,10349,6
,,6063.HK,Lotus Horizon Holdings Ltd,HKD,HKSE,Capital Goods,"Lotus Horizon Holdings Limited provides design, supply, and installation services for facade works and building metal finishing works in Hong Kong. It also offers window fabrication and installation services. The company offers its services for commercial properties, residential properties, and public facilities. It serves contractors and property developers. The company was incorporated in 2018 and is based in Sha Tin, Hong Kong. Lotus Horizon Holdings Limited operates as a subsidiary of Platinum Lotus Holdings Limited.",Construction,HK,4/15/2020,Lotus Horizon Holdings Ltd,,,,0.12,240000000.0,Lotus Horizon Holdings Ltd,HKD,Lotus Horizon Holdings Ltd,Lotus Horizon Holdings Ltd,,Lotus Horizon Holdings Ltd,6063.hk,,,Lotus Horizon Holdings Ltd,,10350,6
,,6110.HK,Topsports International Holdings Ltd,HKD,HKSE,Retailing,"Topsports International Holdings Limited, an investment holding company, operates sportswear retail and service platforms in China. As of February 29, 2020, it operated a retail network, which included 8,395 directly-operated stores. The company also offers information technology services; and trades in sportswear products. Topsports International Holdings Limited was founded in 1999 and is based in Kwai Chung, Hong Kong. Topsports International Holdings Limited is a subsidiary of Belle Sports Limited.",Retail,CN,10/10/2019,Topsports International Holdings Ltd,,,,12.7,78755496000.0,Topsports International Holdings Ltd,HKD,Topsports International Holdings Ltd,Topsports International Holdings Ltd,,Topsports International Holdings Ltd,6110.hk,,,Topsports International Holdings Ltd,,10351,6
