Column1,index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,Warrant,shortest name,url name, smart_order ,random csv equations,pure name,shortest - pure diff,order,first_letter
,,0001.HK,CKH HOLDINGS,HKD,HKSE,Conglomerates,"CK Hutchison Holdings Limited, an investment holding company, operates in ports and related services, retail, infrastructure, energy, and telecommunications businesses worldwide. The company invests in, develops, and operates ports, which operate 290 berths in 52 ports spanning 27 countries throughout Asia, the Middle East, Africa, Europe, the Americas, and Australasia; and provides logistics and transportation-related services, such as cruise ship terminals, airport operations, distribution centers, rail services, and ship repair facilities. It also operates a network of approximately 15,700 retail stores that offer health and beauty products, food and fine wines, consumer electronics, and electrical appliances in Asia and Europe, as well as operates supermarkets; and manufactures and distributes bottled water and beverages under the Watsons Water and Mr. Juicy brands in Hong Kong and Mainland China. In addition, the company invests in energy infrastructure, transportation infrastructure, water infrastructure, waste management, waste-to-energy, household infrastructure, and other infrastructure related businesses primarily in Hong Kong, Mainland China, the United Kingdom, Continental Europe, Australia, New Zealand, and Canada. Further, it provides mobile telecommunications and data services, as well as operates as an integrated energy company in the United States and the Asia Pacific. Additionally, it manufactures and sells pharmaceuticals and healthcare products; researches, develops, manufactures, commercializes, markets, and sells nutraceuticals and agriculture-related products; provides marine construction and ship repair yard, water and sewerage, gas distribution, and aircraft maintenance services; and leases rolling stocks. CK Hutchison Holdings Limited was incorporated in 2014 and is based in Central, Hong Kong.",Industrials,HK,,CKH HOLDINGS,,,,53.5,206000000000.0,CKH HOLDINGS,HKD,CKH HOLDINGS,CKH HOLDINGS,,CKH HOLDINGS,0001.hk,,,CKH HOLDINGS,,8357,0
,,0002.HK,CLP Holdings Limited,HKD,HKSE,Utilities,"CLP Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, Mainland China, India, Southeast Asia, Taiwan, and Australia. The company generates electricity through coal, gas, nuclear, wind, hydro, solar, and oil sources. It serves 5.11 million retail customers in Hong Kong and Australia. The company is also involved in the provision of pumped storage services, and energy and infrastructure solutions; property investment activities; and retail of electricity and gas. It has approximately 15,900 kilometers of transmission and high voltage distribution lines. CLP Holdings Limited was founded in 1901 and is based in Hung Hom, Hong Kong.",Utilities,HK,,CLP Holdings Limited,,,,72.2,182000000000.0,CLP Holdings Limited,HKD,CLP Holdings Limited,CLP Holdings Limited,,CLP Holdings Limited,0002.hk,,,CLP Holdings Limited,,8358,0
,,0003.HK,The Hong Kong and China Gas Company Limited,HKD,HKSE,Utilities—Regulated Gas,"The Hong Kong and China Gas Company Limited, together with its subsidiaries, produces, distributes, and markets gas in Hong Kong and Mainland China. It is involved in the provision of liquefied natural gas, methanol, and coal and other chemicals; conversion and utilization of biomass, and industrial and agricultural waste; and operation of natural gas refilling stations, piped city-gas projects, upstream and midstream developments, water and wastewater treatment projects, energy exploration and utilization ventures, and aviation fuel facilities. The company supplies town gas to approximately 1.9 million customers. It also provides network connectivity, and data center and cloud computing services; and engages in the software development, solution implementation, and systems integration activities. In addition, the company offers consultancy and engineering contractor services, including utilities installation, infrastructure construction, and civil and building services engineering for public and private projects; and designs and manufactures gas meters and metering systems. Further, it is involved in water supply and wastewater treatment serving 2.4 million customers. Additionally, the company manufactures polyethylene piping and fittings; and engages in the customers center, café, restaurant, retail sale, automatic meter reading system development, laboratory testing, payment gateway and related, project management, landfill gas project, financing, logistics, oil, research and development, property development, and securities investment activities. The Hong Kong and China Gas Company Limited was founded in 1862 and is headquartered in North Point, Hong Kong.",Utilities,HK,,The Hong Kong and China Gas Company Limited,,,,10.98,195000000000.0,The Hong Kong and China Gas Company Limited,HKD,The Hong Kong and China Gas Company Limited,The Hong Kong and China Gas Company Limited,,The Hong Kong and China Gas Company Limited,0003.hk,,,The Hong Kong and China Gas Company Limited,,8359,0
,,0004.HK,Wharf (Holdings) Limited,HKD,HKSE,Real Estate Services,"Founded in 1886 with Hong Kong as its base, The Wharf (Holdings) Limited (Stock code: 0004) is the 17th company incorporated in Hong Kong and a premier company with a long history. As one of the 30 constituent stocks in the original Hang Seng Index since more than 50 years ago, Wharf is among the top local blue chips that is most actively traded and widely held. Backed by a long standing mission of ?Building for Tomorrow? and a proven track record in management and execution, the Group has produced consistent and productive performance over the years. Subsequent to the separate listing of Wharf Real Estate Investment Company Limited in November 2017 which focuses on its Hong Kong investment properties portfolio, The Wharf (Holdings) Limited's businesses are largely property-related, comprising Investment Properties, Hotels and Development Properties in Hong Kong and Mainland China. Other businesses include Logistics through Modern Terminals and Hong Kong Air Cargo Terminals. Wharf's Peak Portfolio redefines the concept of luxury living with a collection of the rare and most prestigious residences, epitomising a unique and exclusive lifestyle at the most sought-after addresses in town. Besides the highly-acclaimed Mount Nicholson, other properties under development include 1 Plantation Road, 11 Plantation Road and 77 Peak Road. Besides The Peak Portfolio, the development pipeline of Hong Kong Properties also includes the Kowloon Tong Residential Project and projects in Kowloon East. In the Mainland, Wharf spearheads its investment properties with the International Finance Square (IFS) series at the very heart of CBD or new CBD in high potential cities including Changsha, Chengdu, Chongqing, Suzhou and Wuxi. IFS developments are positioned as trendsetting landmarks with unrivalled locations, superior planning and design, retailer and shopper critical mass, as well as top-notch retail management. Changsha IFS, 2018's newest to the collection, and Chengdu IFS opened in 2014 are comparable to Harbour City in Hong Kong in scale and prominence. The boutique Chongqing IFS, featuring the largest cluster of first-tier brands in Chongqing, was opened in 2017. The Group continues to adopt a selective land acquisition policy with strategic focus on key Tier 1 or 2 cities in order to secure high quality land bank with returns. The development property landbank at the end of June 2019 totalled 3.6 million square metres. Wharf Hotels manages an expanding portfolio of 17 hotels in Asia, spearheaded by a prominent Niccolo brand in recent years. The Wharf Hotels owns four contemporary, urban, chic Niccolo hotels (including The Murray, Hong Kong and Niccolo Changsha) and manages 13 Marco Polo hotels in Hong Kong, Mainland China and the Philippines. Niccolo Suzhou is the newest addition under development and is scheduled to open in 2021. The Group also owns and operates Modern Terminals and Hong Kong Air Cargo Terminals, key components in Hong Kong's success as a hub for international trade and international transportation for decades. CME2 is the Group's long-term investment, representing a strategic initiative of reinvesting capital and profit released from the CME1 exit in Hong Kong in a progressive new economy infrastructure CME2 arena that covers much larger markets with greater growth potential. ?Building for Tomorrow? also extends to Wharf's ?Business-in-Community? (?BIC?) pursuit. With the flagship school improvement programme ?Project Wecan? growing from strength to strength, the Group supports a series of BIC initiatives including Wu Zhi Qiao (Bridge to China) Charitable Foundation, Shanghai International Tower-running Grand Prix and Operation Panda with an aim of promoting BIC and to bring benefits to different segments of society.",Real Estate,HK,,Wharf (Holdings) Limited,,,,17.3,52801847000.0,Wharf (Holdings) Limited,HKD,Wharf (Holdings) Limited,Wharf (Holdings) Limited,,Wharf (Holdings) Limited,0004.hk,,,Wharf (Holdings) Limited,,8360,0
,,0005.HK,HSBC HOLDINGS,HKD,HKSE,Banks,"HSBC Holdings plc provides banking and financial products and services worldwide. The company operates through Retail Banking and Wealth Management, Commercial Banking, Global Banking and Markets, and Global Private Banking segments. The Retail Banking and Wealth Management segment offers personal banking products and services, such as current and savings accounts, mortgages and personal loans, credit and debit cards, and local and international payment services; and wealth management services, including insurance and investment products, global asset management services, and financial planning services. The Commercial Banking segment provides credit and lending, treasury management, payment, cash management, commercial insurance, and investment services, as well as commercial cards, and international trade and receivables finance services; and foreign exchange products, and capital raising and advisory services to small and medium sized enterprises, mid-market enterprises, and corporates. The Global Banking and Markets segment is involved in the provision of financing, advisory, and transaction services, including credit, rates, foreign exchange, equities, money markets, and securities services, as well as principal investment activities to government, corporate and institutional clients, and private investors. The Global Private Banking segment provides a range of services to high net worth individuals and families with complex and international needs. HSBC Holdings plc was founded in 1865 and is headquartered in London, the United Kingdom.",Financial Services,GB,,HSBC HOLDINGS,,,,42.5,865000000000.0,HSBC HOLDINGS,HKD,HSBC HOLDINGS,HSBC HOLDINGS,,HSBC HOLDINGS,0005.hk,,,HSBC HOLDINGS,,8361,0
,,0006.HK,Power Assets Holdings Limited,HKD,HKSE,Utilities—Independent Power Producers,"Power Assets Holdings Limited, an investment holding company, generates, transmits, and distributes electricity in Hong Kong, the United Kingdom, Australia, Mainland China, and internationally. The company generates energy from thermal, wind, and waste sources. It also distributes gas; transmits oil; holds property; and provides consulting, financing, trust administration, and management services. The company has a generation capacity of 1,731 MW renewable energy/energy from waste, 3,968 MW gas fired, and 4,607 MW coal/oil fired; and operates 112,300 km of gas/oil pipeline, as well as 399,100 km of power network serving 19,083,000 customers. Power Assets Holdings Limited was incorporated in 1976 and is based in Central, Hong Kong.",Utilities,HK,,Power Assets Holdings Limited,,,,41.35,88251646000.0,Power Assets Holdings Limited,HKD,Power Assets Holdings Limited,Power Assets Holdings Limited,,Power Assets Holdings Limited,0006.hk,,,Power Assets Holdings Limited,,8362,0
,,0007.HK,Hong Kong Finance Investment Holding Group Limited,HKD,HKSE,Electronics & Computer Distribution,"Hong Kong Finance Investment Holding Group Limited, an investment holding company, engages in the trading, mineral mining, oil and gas, financial, and property investment businesses. The company trades in natural resources and petrochemicals; and electronic products. It is also involved in the mineral mining; oil and gas exploration and production; provision of financial services, including stockbroking, futures and options broking, mutual funds, and insurance-linked investment plans; provision of corporate financial services and immigration consultancy services, and securities margin financing; and property rental activities, as well as trading, importing, and exporting of electronic products. It owns 7 oil fields with a combined area of 13,652 square kilometers in The Arab Republic of Egypt, Tunisia, and Madagascar. Additionally, it is involved in the management of hotels. The company was formerly known as Hoifu Energy Group Limited and changed its name to Hong Kong Finance Investment Holding Group Limited in June 2018. The company was founded in 1989 and is headquartered in Sheung Wan, Hong Kong.",Technology,HK,,Hong Kong Finance Investment Holding Group Limited,,,,0.121,484000000.0,Hong Kong Finance Investment Holding Group Limited,HKD,Hong Kong Finance Investment Holding Group Limited,Hong Kong Finance Investment Holding Group Limited,,Hong Kong Finance Investment Holding Group Limited,0007.hk,,,Hong Kong Finance Investment Holding Group Limited,,8364,0
,,0008.HK,PCCW Limited,HKD,HKSE,Telecom Services,"PCCW Limited provides telecommunications and related services in Hong Kong, Mainland and other parts of China, Japan, and internationally. The company's services include local telephony, local data and broadband, mobile and international telecommunications, and satellite-based and network-based telecommunications services; and outsourcing, consulting, and contact center services. It also provides technical support, electronics and communications engineering, and products and solutions, as well as free television, pay television program, and interactive multimedia services; sells advertising in various telephone directories and on the Internet; publishes directories; and sells mobile handsets and accessories. In addition, the company offers broadcasting and related services, management and engineering support services, customer relationship management and customer contact management solutions, content for various media, and outsourced call center and data center services; and over-the-top video services under the Viu brand, as well as sells customer premises equipment and related solutions. Further, it engages in the sale, distribution, and marketing of telecommunication products; supply of broadband internet access solutions and web services; provision of data services; and software development, systems integration, consulting, and informatization activities; the provision of computer and IP/IT related value-added services to business customers; property investment, development, management, and leasing, as well as hotel management activities; and ski operations. Additionally, the company offers entertainment over-the-top platform; and digital, IT and business process outsourcing, cloud computing, hosting, managed, e-commerce, and IoT solutions. PCCW Limited was founded in 1925 and is headquartered in Quarry Bay, Hong Kong.",Communication Services,HK,,PCCW Limited,,,,4.58,35401748000.0,PCCW Limited,HKD,PCCW Limited,PCCW Limited,,PCCW Limited,0008.hk,,,PCCW Limited,,8365,0
,,0009.HK,Keyne Ltd,HKD,HKSE,Real Estate,"Keyne Ltd, an investment holding company, primarily engages in the property and hotel development business in Hong Kong and Mainland China. The company is involved in the property rental and centralized heat supply businesses. It also provides management services. The company was formerly known as Nine Express Limited and changed its name to Keyne Ltd in March 2020. The company was incorporated in 2001 and is headquartered in Causeway Bay, Hong Kong. Keyne Ltd is a subsidiary of Keyne Holdings Limited.",Real Estate,HK,,Keyne Ltd,,,,0.06,214127392.0,Keyne Ltd,HKD,Keyne Ltd,Keyne Ltd,,Keyne Ltd,0009.hk,,,Keyne Ltd,,8366,0
,,0010.HK,Hang Lung Group Limited,HKD,HKSE,Real Estate,"Hang Lung Group Limited, an investment holding company, operates as a property developer in Hong Kong and Mainland China. The company operates through four segments: Property Leasing in Mainland China, Property Leasing in Hong Kong, property sales in mainland China, and Property Sales in Hong Kong. It develops properties for sale and lease, such as large-scale mall, commercial, office, and residential developments. The company also invests in various properties, including shopping mall, office, residential, serviced apartments, and carparks. Its investment properties portfolio includes Grand Gateway 66, a mall/commercial, office, and residential complex, as well as Plaza 66, a commercial and office complex in Shanghai; Parc 66 in Jinan; Center 66 in Wuxi; Riverside 66 in Tianjin; Olympia 66 in Dalian; Palace 66 and Forum 66 in Shenyang; Spring City 66 in Kunming; Westlake 66; and Heartland 66 in Wuhan. In addition, the company offers car park and property management, securities trading, financial, project management, and property agency services; as well as operates and manages apartment. Hang Lung Group Limited was founded in 1960 and is headquartered in Central, Hong Kong.",Real Estate,HK,,Hang Lung Group Limited,,,,19.76,26913120300.0,Hang Lung Group Limited,HKD,Hang Lung Group Limited,Hang Lung Group Limited,,Hang Lung Group Limited,0010.hk,,,Hang Lung Group Limited,,8367,0
