datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2012-01-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.8,19.8,19.25,19.42,12.99,31100.0,31100.0,-0.24999999999999994,-0.2111666666666667,19.490555
2012-02-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.5,19.94,19.38,19.89,13.36,223300.0,223300.0,0.18,0.04595,19.629833000000005
2012-03-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.91,20.1,19.48,19.83,13.37,860700.0,860700.0,-0.45,-0.10259090909090908,19.861969090909096
2012-04-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.83,19.94,19.18,19.59,13.26,135500.0,135500.0,0.37,0.09560000000000002,19.514666499999997
2012-05-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.67,19.77,18.37,18.47,12.55,180800.0,180800.0,-0.58,-0.13881818181818184,18.949696818181817
2012-06-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,18.24,18.77,18.0,18.56,12.66,202300.0,202300.0,-0.15,-0.036190476190476176,18.366826190476193
2012-07-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,18.88,19.01,18.47,18.83,12.9,154400.0,154400.0,-0.11,-0.027666666666666676,18.765079047619047
2012-08-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,18.81,19.63,18.6,19.18,13.19,128400.0,128400.0,0.04999999999999998,0.01177272727272727,18.30924272727273
2012-09-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.14,19.7,19.03,19.47,13.45,182700.0,182700.0,0.13999999999999999,0.038052631578947366,19.44228105263158
2012-10-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.59,19.8,19.3,19.7,13.66,130600.0,130600.0,-0.53,-0.12313636363636361,19.528940000000002
2012-11-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.75,19.75,18.58,19.3,13.44,247200.0,247200.0,-0.24999999999999994,-0.0572272727272727,19.18666681818182
2012-12-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.35,19.67,19.16,19.64,13.73,156800.0,156800.0,0.45000000000000007,0.12157894736842104,19.4285952631579
2013-01-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,19.86,20.48,19.68,20.25,14.21,331200.0,331200.0,0.04000000000000001,0.008954545454545463,20.10227318181818
2013-02-01,XEI.TO,iShares S&amp;P/TSX Composite High Dividend Index ETF,Toronto,2012-01-24,,20.29,20.51,20.13,20.36,14.35,355300.0,355300.0,0.14,0.03678947368421053,20.307368947368417
