datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2015-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,163488000.0,11.4853,12.3771,11.4853,12.2088,12.2088,8874100.0,8874100.0,0.9200000000000003,0.1872619047619048,12.162740714285713
2015-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,116719200.0,12.1598,12.2686,11.5875,12.199,12.199,1906200.0,1906200.0,-0.252,-0.030396825396825377,11.989263174603174
2015-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,150293200.0,12.2093,12.2806,11.3625,12.111,12.111,564800.0,564800.0,0.43299999999999994,0.060078124999999996,11.99279125
2015-10-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,171073500.0,12.1149,13.9525,11.816,13.8425,13.8425,676500.0,676500.0,1.5800000000000003,0.18973437500000004,12.924878749999998
2016-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,155212200.0,13.6262,13.7962,11.7264,12.5904,12.5904,1281700.0,1281700.0,0.5959999999999999,0.08939344262295083,12.49060786885246
2016-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,152497800.0,12.6025,13.2141,12.1475,12.4632,12.4632,2983900.0,2983900.0,1.2650000000000001,0.15893750000000006,12.709864375000004
2016-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,159586700.0,12.5114,13.3058,12.233,13.1969,13.1969,1733000.0,1733000.0,0.5760000000000001,0.07581249999999996,12.89384796875
2016-10-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,175344000.0,13.1558,16.3937,12.9558,15.261,15.261,2885200.0,2885200.0,0.32499999999999996,0.04584126984126984,14.270693650793648
2017-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,169260000.0,15.3654,15.8697,13.1497,15.1632,15.1632,1531900.0,1531900.0,0.8170000000000003,0.09580645161290322,15.050767419354841
2017-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,175835500.0,15.1945,16.8767,14.6691,15.4273,15.4273,1760300.0,1760300.0,0.09499999999999978,0.028285714285714282,15.934362222222227
2017-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,182970000.0,15.453,17.1326,14.7365,16.7284,16.7284,1023500.0,1023500.0,2.7449999999999997,0.28158730158730166,15.500745238095234
2017-10-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,173106000.0,16.775,17.953,14.9095,15.9458,15.9458,933600.0,933600.0,4.201999999999998,0.4256031746031746,16.728468571428568
2018-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,179034000.0,15.9456,17.2678,15.5106,16.523,16.523,1297500.0,1297500.0,2.1600000000000006,0.22934426229508204,16.2773555737705
2018-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,167046200.0,16.5265,16.97,15.583,15.623,15.623,915300.0,915300.0,1.4250000000000003,0.1485624999999999,16.136410156250005
2018-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,160160000.0,15.6708,16.6208,14.7176,15.0654,15.0654,1060700.0,1060700.0,0.28599999999999987,0.03561904761904761,15.745209365079365
2018-10-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,151998602.0,15.4645,15.4645,13.2575,14.536,14.536,1644400.0,1644400.0,-0.44200000000000045,-0.04019047619047617,14.829705555555567
2019-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,156482703.9,14.4987,16.3217,14.3264,15.2908,15.2908,1119800.0,1119800.0,2.6680000000000006,0.2935737704918032,15.354436065573765
2019-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,161802712.5,15.4783,16.2608,14.9421,15.9885,15.9885,665400.0,665400.0,4.9767,0.5123968253968254,15.819800476190474
2019-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,171525848.8,15.9969,17.6085,15.1582,17.0731,17.0731,1113500.0,1113500.0,4.532799999999999,0.45862499999999995,16.00816671875
2019-10-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,175353722.6,17.0828,18.0333,13.6128,17.9132,17.9132,921800.0,921800.0,2.8659000000000012,0.27243750000000017,17.278406562500006
2020-01-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,105182250.6,17.6936,17.7866,9.1364,10.7723,10.7723,1436500.0,1436500.0,-2.047000000000001,-0.004467741935483973,15.187443387096778
2020-04-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,116866238.4,10.0952,14.4418,8.6911,12.3669,12.3669,1340500.0,1340500.0,-3.9470000000000005,-0.4600158730158728,11.686990476190472
2020-07-01,FNWB,First Northwest Bancorp,NASDAQ,2015-01-30,114120495.60000001,12.0575,12.47,9.7464,12.13,12.13,826784.0,826784.0,0.7410999999999999,0.1649811320754717,11.605504528301886
