,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY
39,2019-12-31,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,37250000.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-750000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,2019,FY-2019
38,2019-09-30,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,37250000.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-750000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,2019,FY-2019
37,2019-06-30,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,37250000.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-750000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,2019,FY-2019
36,2019-03-31,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,37250000.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-750000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,2019,FY-2019
35,2018-12-31,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,33808250.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,5091500.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,2018,FY-2018
34,2018-09-30,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,33808250.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,5091500.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,2018,FY-2018
33,2018-06-30,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,33808250.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,5091500.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,2018,FY-2018
32,2018-03-31,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,33808250.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,5091500.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,2018,FY-2018
31,2017-12-31,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,-31343250.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-44418250.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm,2017,FY-2017
30,2017-09-30,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,-31343250.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-44418250.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm,2017,FY-2017
