,index,Unnamed: 0,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,0,0,2021-03-26 18:43:03,VIVC,USD,2021-03-29,2021-03-26 18:43:03,Q4,-318417.0,9905.0,0.0,0.0,208711.0,0.0,0.0,-2435.0,-6862.0,0.0,-99801.0,0.0,0.0,0.0,0.0,0.0,0.0,-283.0,0.0,0.0,0.0,325529.0,325246.0,5354.0,227878.0,504179.0,276301.0,-99801.0,0.0,-102722.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972721000016/0001549727-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972721000016/vivcform10-kdec312020v4.htm,1620599536,18:32:16,20210509
1,0,1,2020-11-12 10:19:50,VIVC,USD,2020-11-12,2020-11-12 10:19:50,Q3,-302322.0,9496.0,0.0,0.0,1081248.0,-30000.0,0.0,1751.0,300298.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4238.0,1308316.0,0.0,0.0,0.0,624047.0,-17202.0,0.0,0.0,0.0,22000.0,0.0,22000.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000054/0001549727-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000054/vivcform10qsept302020v1.htm,1620599536,18:32:16,20210509
2,0,2,2020-08-10 11:47:54,VIVC,USD,2020-08-10,2020-08-10 11:47:54,Q2,-287460.0,9200.0,0.0,0.0,-290810.0,30000.0,0.0,-190864.0,-780950.0,0.0,-466229.99999999994,0.0,0.0,0.0,0.0,-11162.0,0.0,-1288.0,0.0,0.0,0.0,367479.0,367479.0,-11162.0,-109910.0,215330.00000000003,325240.0,-466229.99999999994,18164.0,-466229.99999999994,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000034/0001549727-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000034/vivcform10qjune302020v3.htm,1620599536,18:32:16,20210509
3,0,3,2020-05-20 14:04:06,VIVC,USD,2020-05-20 00:00:00,2020-05-20 14:04:06,Q1,-79330.0,9290.0,0.0,0.0,-62500.0,4000.0,0.0,-13428.0,-490140.0,0.0,-224380.0,0.0,0.0,0.0,0.0,8822.0,0.0,0.0,0.0,0.0,0.0,-21703.0,-21703.0,8822.0,-237260.0,325240.0,562500.0,-224380.0,0.0,-224380.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000031/0001549727-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000031/vivcform1003312020v8.htm,1620599536,18:32:16,20210509
4,0,4,2019-12-31,VIVC,USD,2020-04-02,2019-12-31,Q4,-605080.0000000001,9670.0,0.0,0.0,-695720.0,0.0,0.0,-8584.0,-427640.0,299240.0,77750.00000000001,-18160.0,0.0,0.0,0.0,0.0,-97030.0,95205.0,0.0,-24840.0,0.0,-215248.0,65210.0,10790.0,56719.99999999999,391980.0,335260.0,77750.00000000001,-18160.0,59590.00000000001,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000022/0001549727-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972720000022/vivcform10kv13clean.htm,1620599536,18:32:16,20210509
5,0,5,2019-11-14 13:16:28,VIVC,USD,2019-11-14 00:00:00,2019-11-14 13:16:28,Q3,57070.00000000001,0.0,0.0,0.0,18930.0,-99000.0,0.0,4269.0,268080.0,0.0,70960.0,0.0,0.0,0.0,0.0,0.0,0.0,-35114.0,0.0,24840.0,0.0,95066.0,-24835.0,0.0,130910.0,505780.0,374870.0,70960.0,0.0,70960.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000032/0001549727-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000032/vivcform10qsept302019v3.htm,1620599536,18:32:16,20210509
6,0,6,2019-08-12 07:16:58,VIVC,USD,2019-08-12 00:00:00,2019-08-12 07:16:58,Q2,185770.0,0.0,0.0,0.0,185760.0,99000.0,0.0,4315.0,249150.0,0.0,144260.0,0.0,0.0,0.0,0.0,0.0,0.0,-60091.0,0.0,0.0,0.0,120182.0,60091.0,0.0,204350.0,374870.0,170520.0,144260.0,0.0,144260.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000022/0001549727-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000022/vivcform10kv5.htm,1620599536,18:32:16,20210509
7,0,7,2019-08-12 07:16:58,VIVC,USD,2019-08-12,2019-08-12 07:16:58,Q1,50700.0,0.0,0.0,0.0,75550.0,0.0,0.0,-900.0,63390.0,0.0,45750.0,0.0,0.0,0.0,0.0,0.0,0.0,-99937.0,0.0,24840.0,0.0,224712.0,124775.0,0.0,170520.0,170520.0,0.0,45750.0,0.0,45750.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000022/0001549727-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000022/vivcform10kv5.htm,1620599536,18:32:16,20210509
8,0,8,2019-03-26 13:07:47,VIVC,USD,2019-03-26 00:00:00,2019-03-26 13:07:47,Q4,-12550.0,0.0,0.0,0.0,-5280.0,0.0,0.0,12155.0,-12160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4822.0,0.0,0.0,0.0,-4822.0,-4822.0,0.0,-4829.999999999999,-9.999999999999,4820.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000005/0001549727-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1703073/000154972719000005/vivc10qjan312019.htm,1620599536,18:32:16,20210509
9,0,9,2018-11-30 08:39:37,VIVC,USD,2018-11-30 00:00:00,2018-11-30 08:39:37,Q3,-2040.0,1030.0,0.0,0.0,-6880.0,0.0,0.0,0.0,-6880.0,0.0,-1209.9999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3382.0,87.0,0.0,819.9999999999995,10820.0,10000.0,-1209.9999999999993,0.0,-1209.9999999999993,https://www.sec.gov/Archives/edgar/data/1703073/000170307318000012/0001703073-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1703073/000170307318000012/vivic10qoctober2018-november.htm,1620599536,18:32:16,20210509
