,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
83,40464250000.0,17974000000.0,22490250000.0,0.13895125,6504500000.0,7003750000.0,4616000000.0,1348500000.0,13932500000.0,31906500000.0,25000000.0,2945250000.0,12876500000.0,8557750000.0,-19750000.0,9906250000.0,0.06120375,1320500000.0,8585750000.0,12.29071,12.29071,174639000.0,174639000.0,2019,FY-2019
82,40464250000.0,17974000000.0,22490250000.0,0.13895125,6504500000.0,7003750000.0,4616000000.0,1348500000.0,13932500000.0,31906500000.0,25000000.0,2945250000.0,12876500000.0,8557750000.0,-19750000.0,9906250000.0,0.06120375,1320500000.0,8585750000.0,12.29071,12.29071,174639000.0,174639000.0,2019,FY-2019
81,40464250000.0,17974000000.0,22490250000.0,0.13895125,6504500000.0,7003750000.0,4616000000.0,1348500000.0,13932500000.0,31906500000.0,25000000.0,2945250000.0,12876500000.0,8557750000.0,-19750000.0,9906250000.0,0.06120375,1320500000.0,8585750000.0,12.29071,12.29071,174639000.0,174639000.0,2019,FY-2019
80,40464250000.0,17974000000.0,22490250000.0,0.13895125,6504500000.0,7003750000.0,4616000000.0,1348500000.0,13932500000.0,31906500000.0,25000000.0,2945250000.0,12876500000.0,8557750000.0,-19750000.0,9906250000.0,0.06120375,1320500000.0,8585750000.0,12.29071,12.29071,174639000.0,174639000.0,2019,FY-2019
79,34204750000.0,14887250000.0,19317500000.0,0.14119025,5354750000.0,5814000000.0,4083250000.0,2148000000.0,12436500000.0,27323750000.0,28500000.0,2258750000.0,11015500000.0,6881000000.0,-248500000.0,8728250000.0,0.06379425,1044250000.0,7684000000.0,10.92587,10.92587,175821250.0,175821250.0,2018,FY-2018
78,34204750000.0,14887250000.0,19317500000.0,0.14119025,5354750000.0,5814000000.0,4083250000.0,2148000000.0,12436500000.0,27323750000.0,28500000.0,2258750000.0,11015500000.0,6881000000.0,-248500000.0,8728250000.0,0.06379425,1044250000.0,7684000000.0,10.92587,10.92587,175821250.0,175821250.0,2018,FY-2018
77,34204750000.0,14887250000.0,19317500000.0,0.14119025,5354750000.0,5814000000.0,4083250000.0,2148000000.0,12436500000.0,27323750000.0,28500000.0,2258750000.0,11015500000.0,6881000000.0,-248500000.0,8728250000.0,0.06379425,1044250000.0,7684000000.0,10.92587,10.92587,175821250.0,175821250.0,2018,FY-2018
76,34204750000.0,14887250000.0,19317500000.0,0.14119025,5354750000.0,5814000000.0,4083250000.0,2148000000.0,12436500000.0,27323750000.0,28500000.0,2258750000.0,11015500000.0,6881000000.0,-248500000.0,8728250000.0,0.06379425,1044250000.0,7684000000.0,10.92587,10.92587,175821250.0,175821250.0,2018,FY-2018
75,27713750000.0,11395750000.0,16318000000.0,0.14720125,4156250000.0,4933250000.0,3223250000.0,261750000.0,9773500000.0,21169250000.0,27250000.0,1728750000.0,6098250000.0,6544500000.0,62500000.0,6798250000.0,0.0613255,1176750000.0,3165500000.0,4.4991075,4.4991075,175896000.0,175896000.0,2017,FY-2017
74,27713750000.0,11395750000.0,16318000000.0,0.14720125,4156250000.0,4933250000.0,3223250000.0,261750000.0,9773500000.0,21169250000.0,27250000.0,1728750000.0,6098250000.0,6544500000.0,62500000.0,6798250000.0,0.0613255,1176750000.0,3165500000.0,4.4991075,4.4991075,175896000.0,175896000.0,2017,FY-2017
