,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY
107,2020-12-31,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,16572000000.0,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
106,2020-09-30,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,16572000000.0,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
105,2020-06-30,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,16572000000.0,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
104,2020-03-31,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,16572000000.0,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
103,2019-12-31,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,15982500000.0,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
102,2019-09-30,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,15982500000.0,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
101,2019-06-30,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,15982500000.0,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
100,2019-03-31,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,15982500000.0,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
99,2018-12-31,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,17724500000.0,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
98,2018-09-30,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,17724500000.0,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
