,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
39,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,2019,FY-2019
38,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,2019,FY-2019
37,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,2019,FY-2019
36,6144500000.0,5127250000.0,1017250000.0,0.0413886402473757,335750000.0,661500000.0,0.0,1034500000.0,6161750000.0,171250000.0,538500000.0,521750000.0,-17250000.0,-166250000.0,-0.006764249999999999,27500000.0,-215500000.0,-0.2435025,-0.2435025,44250000.0,44250000.0,2019,FY-2019
35,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,2018,FY-2018
34,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,2018,FY-2018
33,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,2018,FY-2018
32,5365317000.0,4354811750.0,1010505250.0,0.04708506738744421,365092500.0,708622750.0,0.0,1107523500.0000002,5462335250.0,165767750.0,475262500.0,411466750.0,-97018250.0,-251186250.0,-0.011704250000000001,14459250.0,-244022750.0,-0.2862025,-0.2862025,42631250.0,42631250.0,2018,FY-2018
31,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,2017,FY-2017
30,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,2017,FY-2017
29,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,2017,FY-2017
28,2939687750.0,2384066000.0,555621750.0,0.04725176594010708,344518250.0,619125000.0,0.0,963643250.0000002,3347709250.0,117814750.0,409000750.0,-136309500.0,-408021500.0,-552258000.0,-0.04696575,-172775000.0,-490350000.0,-0.591645,-0.591645,41439500.0,41439500.0,2017,FY-2017
27,1750033000.0,1350218750.0,399814250.0,0.0571152443982485,208602000.0,358047250.0,0.0,566649250.0,1916868000.0,49702500.0,236774750.0,124423250.0,-166835000.0,-186587000.0,-0.02665475,6674500.0,-168728500.0,-0.23399999999999999,-0.23399999999999999,36053000.0,36053000.0,2016,FY-2016
26,1750033000.0,1350218750.0,399814250.0,0.0571152443982485,208602000.0,358047250.0,0.0,566649250.0,1916868000.0,49702500.0,236774750.0,124423250.0,-166835000.0,-186587000.0,-0.02665475,6674500.0,-168728500.0,-0.23399999999999999,-0.23399999999999999,36053000.0,36053000.0,2016,FY-2016
25,1750033000.0,1350218750.0,399814250.0,0.0571152443982485,208602000.0,358047250.0,0.0,566649250.0,1916868000.0,49702500.0,236774750.0,124423250.0,-166835000.0,-186587000.0,-0.02665475,6674500.0,-168728500.0,-0.23399999999999999,-0.23399999999999999,36053000.0,36053000.0,2016,FY-2016
24,1750033000.0,1350218750.0,399814250.0,0.0571152443982485,208602000.0,358047250.0,0.0,566649250.0,1916868000.0,49702500.0,236774750.0,124423250.0,-166835000.0,-186587000.0,-0.02665475,6674500.0,-168728500.0,-0.23399999999999999,-0.23399999999999999,36053000.0,36053000.0,2016,FY-2016
23,1011506250.0,780630500.0,230875750.0,0.057062363677930814,179475000.0,230558000.0,0.0,410033000.0000001,1190663500.0000002,29712750.0,105647500.0,-83545750.0,-179157250.0,-218906000.0,-0.054104,3259750.0,-222165750.0,-0.3465875,-0.3465875,32050500.0,32050500.0,2015,FY-2015
22,1011506250.0,780630500.0,230875750.0,0.057062363677930814,179475000.0,230558000.0,0.0,410033000.0000001,1190663500.0000002,29712750.0,105647500.0,-83545750.0,-179157250.0,-218906000.0,-0.054104,3259750.0,-222165750.0,-0.3465875,-0.3465875,32050500.0,32050500.0,2015,FY-2015
21,1011506250.0,780630500.0,230875750.0,0.057062363677930814,179475000.0,230558000.0,0.0,410033000.0000001,1190663500.0000002,29712750.0,105647500.0,-83545750.0,-179157250.0,-218906000.0,-0.054104,3259750.0,-222165750.0,-0.3465875,-0.3465875,32050500.0,32050500.0,2015,FY-2015
20,1011506250.0,780630500.0,230875750.0,0.057062363677930814,179475000.0,230558000.0,0.0,410033000.0000001,1190663500.0000002,29712750.0,105647500.0,-83545750.0,-179157250.0,-218906000.0,-0.054104,3259750.0,-222165750.0,-0.3465875,-0.3465875,32050500.0,32050500.0,2015,FY-2015
19,799500000.0,579250000.0,220250000.0,0.06887116948092557,116250000.0,151000000.0,0.0,267000000.0,846250000.0,25221500.0,57975000.0,11946500.0,-46750000.0,-71250000.0,-0.022279499999999997,2250000.0,-73500000.0,-0.588,-0.588,31134835.75,31134835.75,2014,FY-2014
18,799500000.0,579250000.0,220250000.0,0.06887116948092557,116250000.0,151000000.0,0.0,267000000.0,846250000.0,25221500.0,57975000.0,11946500.0,-46750000.0,-71250000.0,-0.022279499999999997,2250000.0,-73500000.0,-0.588,-0.588,31134835.75,31134835.75,2014,FY-2014
17,799500000.0,579250000.0,220250000.0,0.06887116948092557,116250000.0,151000000.0,0.0,267000000.0,846250000.0,25221500.0,57975000.0,11946500.0,-46750000.0,-71250000.0,-0.022279499999999997,2250000.0,-73500000.0,-0.588,-0.588,31134835.75,31134835.75,2014,FY-2014
16,799500000.0,579250000.0,220250000.0,0.06887116948092557,116250000.0,151000000.0,0.0,267000000.0,846250000.0,25221500.0,57975000.0,11946500.0,-46750000.0,-71250000.0,-0.022279499999999997,2250000.0,-73500000.0,-0.588,-0.588,31134835.75,31134835.75,2014,FY-2014
15,503250000.0,389250000.0,114000000.0,0.05663189269746648,58000000.0,71500000.0,0.0,129500000.0,518750000.0,8233500.0,26525000.0,17008500.0,-15250000.0,-17750000.0,-0.00881775,750000.0,-18500000.0,-0.1554625,-0.1554625,29855353.5,29855353.5,2013,FY-2013
14,503250000.0,389250000.0,114000000.0,0.05663189269746648,58000000.0,71500000.0,0.0,129500000.0,518750000.0,8233500.0,26525000.0,17008500.0,-15250000.0,-17750000.0,-0.00881775,750000.0,-18500000.0,-0.1554625,-0.1554625,29855353.5,29855353.5,2013,FY-2013
13,503250000.0,389250000.0,114000000.0,0.05663189269746648,58000000.0,71500000.0,0.0,129500000.0,518750000.0,8233500.0,26525000.0,17008500.0,-15250000.0,-17750000.0,-0.00881775,750000.0,-18500000.0,-0.1554625,-0.1554625,29855353.5,29855353.5,2013,FY-2013
12,503250000.0,389250000.0,114000000.0,0.05663189269746648,58000000.0,71500000.0,0.0,129500000.0,518750000.0,8233500.0,26525000.0,17008500.0,-15250000.0,-17750000.0,-0.00881775,750000.0,-18500000.0,-0.1554625,-0.1554625,29855353.5,29855353.5,2013,FY-2013
11,103250000.0,95750000.0,7500000.0,0.018159806295399514,68500000.0,37500000.0,0.0,106250000.0,202000000.0,63500.0,7200000.0,-91736500.0,-98500000.0,-99000000.0,-0.2397095,34000.0,-99000000.0,-0.9252325000000001,-0.9252325000000001,26837297.0,26837297.0,2012,FY-2012
10,103250000.0,95750000.0,7500000.0,0.018159806295399514,68500000.0,37500000.0,0.0,106250000.0,202000000.0,63500.0,7200000.0,-91736500.0,-98500000.0,-99000000.0,-0.2397095,34000.0,-99000000.0,-0.9252325000000001,-0.9252325000000001,26837297.0,26837297.0,2012,FY-2012
9,103250000.0,95750000.0,7500000.0,0.018159806295399514,68500000.0,37500000.0,0.0,106250000.0,202000000.0,63500.0,7200000.0,-91736500.0,-98500000.0,-99000000.0,-0.2397095,34000.0,-99000000.0,-0.9252325000000001,-0.9252325000000001,26837297.0,26837297.0,2012,FY-2012
8,103250000.0,95750000.0,7500000.0,0.018159806295399514,68500000.0,37500000.0,0.0,106250000.0,202000000.0,63500.0,7200000.0,-91736500.0,-98500000.0,-99000000.0,-0.2397095,34000.0,-99000000.0,-0.9252325000000001,-0.9252325000000001,26837297.0,26837297.0,2012,FY-2012
7,51000000.0,35750000.0,15250000.0,0.07475490196078431,52250000.0,26000000.0,0.0,78250000.0,114000000.0,10750.0,4225000.0,-59264250.0,-62750000.0,-63500000.0,-0.3112745,122250.0,-63500000.0,-0.635,-0.635,25097203.75,25097203.75,2011,FY-2011
6,51000000.0,35750000.0,15250000.0,0.07475490196078431,52250000.0,26000000.0,0.0,78250000.0,114000000.0,10750.0,4225000.0,-59264250.0,-62750000.0,-63500000.0,-0.3112745,122250.0,-63500000.0,-0.635,-0.635,25097203.75,25097203.75,2011,FY-2011
5,51000000.0,35750000.0,15250000.0,0.07475490196078431,52250000.0,26000000.0,0.0,78250000.0,114000000.0,10750.0,4225000.0,-59264250.0,-62750000.0,-63500000.0,-0.3112745,122250.0,-63500000.0,-0.635,-0.635,25097203.75,25097203.75,2011,FY-2011
4,51000000.0,35750000.0,15250000.0,0.07475490196078431,52250000.0,26000000.0,0.0,78250000.0,114000000.0,10750.0,4225000.0,-59264250.0,-62750000.0,-63500000.0,-0.3112745,122250.0,-63500000.0,-0.635,-0.635,25097203.75,25097203.75,2011,FY-2011
3,29250000.0,21250000.0,8000000.0,0.06837606837606838,23250000.0,21250000.0,0.0,44750000.0,66000000.0,248000.0,2650000.0,-35602000.0,-36750000.0,-38500000.0,-0.32905975,43250.0,-38500000.0,-0.7549024999999999,-0.7549024999999999,12679575.5,12679575.5,2010,FY-2010
2,29250000.0,21250000.0,8000000.0,0.06837606837606838,23250000.0,21250000.0,0.0,44750000.0,66000000.0,248000.0,2650000.0,-35602000.0,-36750000.0,-38500000.0,-0.32905975,43250.0,-38500000.0,-0.7549024999999999,-0.7549024999999999,12679575.5,12679575.5,2010,FY-2010
1,29250000.0,21250000.0,8000000.0,0.06837606837606838,23250000.0,21250000.0,0.0,44750000.0,66000000.0,248000.0,2650000.0,-35602000.0,-36750000.0,-38500000.0,-0.32905975,43250.0,-38500000.0,-0.7549024999999999,-0.7549024999999999,12679575.5,12679575.5,2010,FY-2010
0,29250000.0,21250000.0,8000000.0,0.06837606837606838,23250000.0,21250000.0,0.0,44750000.0,66000000.0,248000.0,2650000.0,-35602000.0,-36750000.0,-38500000.0,-0.32905975,43250.0,-38500000.0,-0.7549024999999999,-0.7549024999999999,12679575.5,12679575.5,2010,FY-2010
