,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY,quarter avg
0,2020-09-26,64698000000,40009000000,24689000000,0.3816037590033695,4978000000,4936000000,0.0,126000000.0,9914000000.0,49923000000,0.0,2702000000.0,17477000000.0,14775000000.0,126000000.0,14901000000.0,0.230316238523602,2228000000.0,12673000000.0,0.73,0.73,17352119000.0,17528214000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,Q4-2020,64698000000.0
1,2020-06-27,59685000000,37005000000,22680000000,0.3799949736114602,4758000000,4831000000,0.0,46000000.0,9589000000.0,46594000000,697000000.0,2752000000.0,16586000000.0,13091000000.0,-158000000.0,13137000000.0,0.220106,1884000000.0,11253000000.0,0.6460100000000001,0.6460100000000001,17419152000.0,17419152000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,2020,Q3-2020,62191500000.0
2,2020-03-28,58313000000,35943000000,22370000000,0.383619,4565000000,4952000000,0.0,282000000.0,9517000000.0,45460000000,757000000.0,2786000000.0,16678000000.0,12853000000.0,-10000000.0,13135000000.0,0.22525,1886000000.0,11249000000.0,0.63847,0.63847,17618764000.0,17618764000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm,2020,Q2-2020,60898666666.666664
3,2019-12-28,91819000000,56602000000,35217000000,0.383548,4451000000,5197000000,0.0,349000000.0,9648000000.0,66250000000,785000000.0,2816000000.0,29519000000.0,25569000000.0,89000000.0,25918000000.0,0.282273,3682000000.0,22236000000.0,1.2479200000000001,1.2479200000000001,17818416000.0,17818416000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm,2019,Q1-2019,68628750000.0
4,2019-09-28,64040000000,39727000000,24313000000,0.379653,4110000000,4578000000,0.0,502000000.0,8688000000.0,48415000000,810000000.0,3179000000.0,20116000000.0,15625000000.0,206000000.0,16127000000.0,0.251827,2441000000.0,13686000000.0,0.7569100000000001,0.7569100000000001,18081500000.0,18081500000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,Q4-2019,67711000000.0
5,2019-06-29,53809000000,33582000000,20227000000,0.375904,4257000000,4426000000,0.0,367000000.0,8683000000.0,42265000000,866000000.0,2933000000.0,15710000000.0,11544000000.0,43000000.0,11911000000.0,0.22135700000000003,1867000000.0,10044000000.0,0.54571,0.54571,18405520000.0,18405520000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,2019,Q3-2019,65394000000.0
6,2019-03-30,58015000000,36194000000,21821000000,0.376127,3948000000,4458000000,0.0,378000000.0,8406000000.0,44600000000,1010000000.0,3040000000.0,17843000000.0,13415000000.0,30000000.0,13793000000.0,0.237749,2232000000.0,11561000000.0,0.6148600000000001,0.6148600000000001,18802584000.0,18802584000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm,2019,Q2-2019,64339857142.85714
7,2018-12-29,84310000000,52279000000,32031000000,0.379919,3902000000,4783000000,0.0,560000000.0,8685000000.0,60964000000,890000000.0,3395000000.0,28191000000.0,23346000000.0,143000000.0,23906000000.0,0.283549,3941000000.0,19965000000.0,1.04567,1.04567,19093008000.0,19093008000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm,2018,Q1-2018,66836125000.0
8,2018-09-29,62900000000,38816000000,24084000000,0.382893,3750000000,4216000000,0.0,-1702000000.0,7966000000.0,46782000000,868000000.0,2754000000.0,21143000000.0,16118000000.0,-140000000.0,16421000000.0,0.261065,3396000000.0,14125000000.0,0.72839,0.72839,19392000000.0,19392000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,Q4-2018,66611375000.0
9,2018-06-30,53265000000,32844000000,20421000000,0.3833849619825401,3701000000,4108000000,0.0,100000000.0,0.0,40653000000,846000000.0,0.0,16795000000.0,12612000000.0,100000000.0,13284000000.0,0.2493945367502112,1765000000.0,11519000000.0,0.59,0.585,19528668000.0,19706436000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm,2018,Q3-2018,65808875000.0
10,2018-03-31,61137000000,37715000000,23422000000,0.3831067929404453,3378000000,4150000000,0.0,-439000000.0,0.0,45243000000,792000000.0,0.0,19699000000.0,15894000000.0,-439000000.0,16168000000.0,0.26445523987110914,2346000000.0,13822000000.0,0.6875,0.6825,20099508000.0,20273972000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm,2018,Q2-2018,66161875000.0
11,2017-12-30,88293000000,54381000000,33912000000,0.384085,3407000000,4231000000,0.0,756000000.0,7638000000.0,62019000000,734000000.0,2745000000.0,27909000000.0,26274000000.0,38000000.0,27030000000.0,0.30614,4365000000.0,20065000000.0,0.97252,0.97252,20632000000.0,20632000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/a10-qq1201812302017.htm,2017,Q1-2017,65721125000.0
12,2017-09-30,52579000000,32648000000,19931000000,0.3790676886209323,2997000000,3814000000,0.0,95000000.0,0.0,39459000000,666000000.0,0.0,17067000000.0,13120000000.0,95000000.0,13917000000.0,0.2646874227353126,3203000000.0,10714000000.0,0.52,0.5175,20597712000.0,20734340000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017,Q4-2017,64288500000.0
13,2017-07-01,45408000000,27920000000,17488000000,0.38513000000000003,2937000000,3783000000,0.0,540000000.0,6720000000.0,34640000000,602000000.0,2354000000.0,14264000000.0,10768000000.0,-185000000.0,11308000000.0,0.249031,2591000000.0,8717000000.0,0.41644,0.41644,20932000000.0,20932000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/a10-qq32017712017.htm,2017,Q3-2017,63238375000.0
