,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY
103,2019-12-31,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,1271750000.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,0.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,2019,FY-2019
102,2019-09-30,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,1271750000.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,0.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,2019,FY-2019
101,2019-06-30,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,1271750000.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,0.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,2019,FY-2019
100,2019-03-31,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,1271750000.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,0.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,2019,FY-2019
99,2018-12-31,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,1432750000.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,0.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm,2018,FY-2018
98,2018-09-30,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,1432750000.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,0.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm,2018,FY-2018
97,2018-06-30,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,1432750000.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,0.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm,2018,FY-2018
96,2018-03-31,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,1432750000.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,0.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm,2018,FY-2018
95,2017-12-31,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,1564000000.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,0.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961718000057/corp10k2017.htm,2017,FY-2017
94,2017-09-30,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,1564000000.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,0.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961718000057/corp10k2017.htm,2017,FY-2017
