,Unnamed: 0,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,0.0,2020-09-26,AAPL,USD,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,-21750000.0,9667000000.0,52056750000.0,718250000.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,-21750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,405146504.25,14:46:57,5052627.25
1,0.25,2019-09-28,AAPL,USD,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945444202725868,4054250000.0,4561250000.0,0.0,105500000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,19119250000.0,0.0734863975647067,15982500000.0,0.06143004297124233,105500000.0,16434250000.0,0.06316638096043417,2620250000.0,13814000000.0,0.05309523626496114,0.748125,0.743125,4617834000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,405146504.25,14:46:57,5052627.25
2,0.5,2018-09-29,AAPL,USD,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585929705001978,3559000000.0,4176250000.0,0.0,-110250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,20450250000.0,0.0769978727009168,17724500000.0,0.06673506654869256,-110250000.0,18225750000.0,0.06862233852293906,3343000000.0,14882750000.0,0.05603550518646812,0.750625,0.744375,4955377000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,405146504.25,14:46:57,5052627.25
3,0.75,2017-09-30,AAPL,USD,2017-11-03 00:00:00,2017-11-03 08:01:37,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,-33250000.0,6710500000.0,41972500000.0,580750000.0,2539250000.0,17875250000.0,0.0779781795021681,15336000000.0,0.06690107052182485,-33250000.0,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,405146504.25,14:46:57,5052627.25
4,1.0,2016-09-24,AAPL,USD,2016-10-26 00:00:00,2016-10-26 16:42:16,FY,53909750000.0,32844000000.0,21065750000.0,0.09768988912024262,2511250000.0,3548500000.0,0.0,-298750000.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,17632250000.0,0.08176744466446237,15006000000.0,0.06958852526676529,-298750000.0,15343000000.0,0.07115132234892575,3921250000.0,11421750000.0,0.052966995766072,0.521875,0.519375,5470820000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,405146504.25,14:46:57,5052627.25
5,1.25,2015-09-26,AAPL,USD,2015-10-28 00:00:00,2015-10-28 16:31:09,FY,58428750000.0,35022250000.0,23406500000.0,0.10014975504353593,2016750000.0,3582250000.0,0.0,-225750000.0,5599000000.0,40621250000.0,183250000.0,2814250000.0,20621750000.0,0.08823460197248786,17807500000.0,0.07619322679331665,-225750000.0,18128750000.0,0.07756776415720003,4780250000.0,13348500000.0,0.0571144342468391,0.58,0.57625,5753421000.0,5793069000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,405146504.25,14:46:57,5052627.25
6,1.5,2014-09-27,AAPL,USD,2014-10-27 00:00:00,2014-10-27 17:11:55,FY,45698750000.0,28064500000.0,17634250000.0,0.09647008944445964,1510250000.0,2998250000.0,0.0,-107750000.0,4508500000.0,32573000000.0,96000000.0,1986500000.0,15112250000.0,0.08267321316228562,13125750000.0,0.07180584808118384,-107750000.0,13370750000.0,0.07314614732350448,3493250000.0,9877500000.0,0.0540359419021308,0.405625,0.403125,6085572000.0,6122663000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,405146504.25,14:46:57,5052627.25
7,1.75,2013-09-28,AAPL,USD,2013-10-30 00:00:00,2013-10-29 20:38:28,FY,42727500000.0,26651500000.0,16076000000.0,0.09406120180211808,1118750000.0,2707500000.0,0.0,-81000000.0,3826250000.0,30477750000.0,34000000.0,1689250000.0,13939000000.0,0.08155754490667602,12249750000.0,0.0716736879059154,-81000000.0,12538750000.0,0.07336463635831725,3279500000.0,9259250000.0,0.05417617459481599,0.35741075,0.35491075,6477317000.0,6521634000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,405146504.25,14:46:57,5052627.25
8,2.0,2012-09-29,AAPL,USD,2012-10-31 00:00:00,2012-10-31 17:07:19,FY,39127000000.0,21961500000.0,17165500000.0,0.10967809952206915,845250000.0,2510000000.0,0.0,-141500000.0,3355250000.0,25316750000.0,0.0,819250000.0,14629500000.0,0.09347445497993713,13810250000.0,0.08823989827996012,-141500000.0,13940750000.0,0.08907372147110691,3507500000.0,10433250000.0,0.06666272650599331,0.3985715,0.3941965,6543726000.0,6617485000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,405146504.25,14:46:57,5052627.25
9,2.25,2011-09-24,AAPL,USD,2011-10-26 00:00:00,2011-10-26 16:35:25,FY,27062250000.0,16107750000.0,10954500000.0,0.1011972396973644,607250000.0,1899750000.0,0.0,-26000000.0,2507000000.0,18614750000.0,0.0,453500000.0,8901000000.0,0.08222708754815287,8447500000.0,0.07803767240344023,-26000000.0,8551250000.0,0.07899611081857569,2070750000.0,6480500000.0,0.0598666038485344,0.2504465,0.24714274999999997,6469806000.0,6556515000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,405146504.25,14:46:57,5052627.25
