,symbol,historical
0,0001.HK,"{'date': '2021-02-11', 'open': 53.200001, 'high': 53.900002, 'low': 53.099998, 'close': 53.5, 'adjClose': 53.5, 'volume': 5405254.0, 'unadjustedVolume': 5405254.0, 'change': 0.3, 'changePercent': 0.564, 'vwap': 53.5, 'label': 'February 11, 21', 'changeOverTime': 0.00564}"
1,0001.HK,"{'date': '2021-02-10', 'open': 53.900002, 'high': 54.200001, 'low': 53.200001, 'close': 53.5, 'adjClose': 53.5, 'volume': 4685842.0, 'unadjustedVolume': 4685842.0, 'change': -0.4, 'changePercent': -0.742, 'vwap': 53.63333, 'label': 'February 10, 21', 'changeOverTime': -0.00742}"
2,0001.HK,"{'date': '2021-02-09', 'open': 52.900002, 'high': 53.700001, 'low': 52.849998, 'close': 53.450001, 'adjClose': 53.450001, 'volume': 6000939.0, 'unadjustedVolume': 6000939.0, 'change': 0.55, 'changePercent': 1.04, 'vwap': 53.33333, 'label': 'February 09, 21', 'changeOverTime': 0.0104}"
3,0001.HK,"{'date': '2021-02-08', 'open': 53.150002, 'high': 53.450001, 'low': 52.5, 'close': 52.5, 'adjClose': 52.5, 'volume': 7540154.0, 'unadjustedVolume': 7540154.0, 'change': -0.65, 'changePercent': -1.223, 'vwap': 52.81667, 'label': 'February 08, 21', 'changeOverTime': -0.01223}"
4,0001.HK,"{'date': '2021-02-05', 'open': 53.5, 'high': 53.5, 'low': 53.0, 'close': 53.049999, 'adjClose': 53.049999, 'volume': 9792947.0, 'unadjustedVolume': 9792947.0, 'change': -0.45, 'changePercent': -0.841, 'vwap': 53.18333, 'label': 'February 05, 21', 'changeOverTime': -0.00841}"
5,0001.HK,"{'date': '2021-02-04', 'open': 53.299999, 'high': 54.200001, 'low': 53.099998, 'close': 53.5, 'adjClose': 53.5, 'volume': 6531633.0, 'unadjustedVolume': 6531633.0, 'change': 0.2, 'changePercent': 0.375, 'vwap': 53.6, 'label': 'February 04, 21', 'changeOverTime': 0.00375}"
6,0001.HK,"{'date': '2021-02-03', 'open': 54.25, 'high': 54.650002, 'low': 53.349998, 'close': 53.900002, 'adjClose': 53.900002, 'volume': 11840470.0, 'unadjustedVolume': 11840470.0, 'change': -0.35, 'changePercent': -0.645, 'vwap': 53.96667, 'label': 'February 03, 21', 'changeOverTime': -0.00645}"
7,0001.HK,"{'date': '2021-02-02', 'open': 55.0, 'high': 55.599998, 'low': 54.5, 'close': 54.950001, 'adjClose': 54.950001, 'volume': 4921617.0, 'unadjustedVolume': 4921617.0, 'change': -0.05, 'changePercent': -0.091, 'vwap': 55.01667, 'label': 'February 02, 21', 'changeOverTime': -0.00091}"
8,0001.HK,"{'date': '2021-02-01', 'open': 54.099998, 'high': 55.200001, 'low': 53.5, 'close': 55.049999, 'adjClose': 55.049999, 'volume': 7128273.0, 'unadjustedVolume': 7128273.0, 'change': 0.95, 'changePercent': 1.756, 'vwap': 54.58333, 'label': 'February 01, 21', 'changeOverTime': 0.01756}"
9,0001.HK,"{'date': '2021-01-29', 'open': 55.0, 'high': 55.099998, 'low': 53.299999, 'close': 53.700001, 'adjClose': 53.700001, 'volume': 11305930.0, 'unadjustedVolume': 11305930.0, 'change': -1.3, 'changePercent': -2.364, 'vwap': 54.03333, 'label': 'January 29, 21', 'changeOverTime': -0.02364}"
