,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
109,1993-12-31,O5Q.DE,USD,1993-12-31,1993-12-31,Q4,33000000.0,-35000000.0,17000000.0,0.0,67000000.0,95000000.0,8000000.0,33000000.0,0.0,77000000.0,159000000.0,-56000000,0.0,0.0,0.0,-8000000.0,-64000000.0,0.0,0.0,0.0,0.0,-99000000.0,-99000000.0,0.0,0.0,0.0,0.0,159000000.0,-56000000.0,103000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
110,1993-09-30,O5Q.DE,USD,1993-09-30,1993-09-30,Q3,48000000.0,-29000000.0,-9000000.0,0.0,-11000000.0,-34000000.0,2000000.0,41000000.0,0.0,65000000.0,64000000.0,-43000000,0.0,0.0,0.0,-7000000.0,-50000000.0,0.0,0.0,0.0,0.0,-9000000.0,-9000000.0,0.0,0.0,0.0,0.0,64000000.0,-43000000.0,21000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
111,1993-06-30,O5Q.DE,USD,1993-06-30,1993-06-30,Q2,33000000.0,-29000000.0,0.0,0.0,-42000000.0,-49000000.0,23000000.0,-9000000.0,0.0,43000000.0,12000000.0,-43000000,0.0,0.0,0.0,-1000000.0,-44000000.0,0.0,0.0,0.0,0.0,33000000.0,33000000.0,0.0,0.0,0.0,0.0,12000000.0,-43000000.0,-31000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
112,1993-03-31,O5Q.DE,USD,1993-03-31,1993-03-31,Q1,-9000000.0,-28000000.0,2000000.0,0.0,-7000000.0,-34000000.0,-29000000.0,49000000.0,0.0,67000000.0,18000000.0,-22000000,0.0,0.0,0.0,2000000.0,-20000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,2000000.0,18000000.0,-22000000.0,-4000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
113,1992-12-31,O5Q.DE,USD,1992-12-31,1992-12-31,Q4,12000000.0,-33000000.0,-2000000.0,0.0,116000000.0,134000000.0,0.0,-13000000.0,0.0,56000000.0,159000000.0,-59000000,0.0,0.0,0.0,2000000.0,-57000000.0,0.0,0.0,0.0,0.0,-104000000.0,-104000000.0,0.0,0.0,0.0,0.0,159000000.0,-59000000.0,100000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
114,1992-09-30,O5Q.DE,USD,1992-09-30,1992-09-30,Q3,32000000.0,-31000000.0,-7000000.0,0.0,37000000.0,3000000.0,0.0,33000000.0,0.0,68000000.0,111000000.0,-26000000,0.0,0.0,0.0,0.0,-26000000.0,0.0,0.0,0.0,0.0,-86000000.0,-86000000.0,0.0,0.0,0.0,0.0,111000000.0,-26000000.0,85000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
115,1992-06-30,O5Q.DE,USD,1992-06-30,1992-06-30,Q2,22000000.0,-30000000.0,-8000000.0,0.0,-59000000.0,-59000000.0,9000000.0,-12000000.0,0.0,64000000.0,-10000000.0,-25000000,0.0,0.0,0.0,-2000000.0,-27000000.0,0.0,0.0,0.0,0.0,38000000.0,38000000.0,0.0,0.0,0.0,0.0,-10000000.0,-25000000.0,-35000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
116,1992-03-31,O5Q.DE,USD,1992-03-31,1992-03-31,Q1,6000000.0,-30000000.0,-4000000.0,0.0,-109000000.0,-86000000.0,-22000000.0,-5000000.0,0.0,61000000.0,-68000000.0,-20000000,0.0,0.0,0.0,-4000000.0,-24000000.0,0.0,0.0,0.0,0.0,93000000.0,93000000.0,0.0,0.0,0.0,3000000.0,-68000000.0,-20000000.0,-88000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
117,1991-12-31,O5Q.DE,USD,1991-12-31,1991-12-31,Q4,-534000000.0,-35000000.0,-283000000.0,0.0,60000000.0,109000000.0,-18000000.0,-21000000.0,0.0,75000000.0,114000000.0,-38000000,0.0,0.0,0.0,-4000000.0,-42000000.0,0.0,0.0,0.0,0.0,-73000000.0,-73000000.0,0.0,0.0,0.0,0.0,114000000.0,-38000000.0,76000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
118,1991-09-30,O5Q.DE,USD,1991-09-30,1991-09-30,Q3,27000000.0,-19000000.0,0.0,0.0,55000000.0,2000000.0,16000000.0,14000000.0,0.0,45000000.0,89000000.0,-17000000,0.0,0.0,0.0,-7000000.0,-24000000.0,0.0,0.0,0.0,0.0,-67000000.0,-67000000.0,0.0,0.0,0.0,0.0,89000000.0,-17000000.0,72000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
119,1991-06-30,O5Q.DE,USD,1991-06-30,1991-06-30,Q2,15000000.0,-39000000.0,0.0,0.0,2000000.0,-59000000.0,35000000.0,18000000.0,0.0,77000000.0,63000000.0,-22000000,0.0,0.0,0.0,-6000000.0,-28000000.0,0.0,0.0,0.0,0.0,-33000000.0,-33000000.0,0.0,0.0,0.0,0.0,63000000.0,-22000000.0,41000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
120,1991-03-31,O5Q.DE,USD,1991-03-31,1991-03-31,Q1,-23000000.0,-39000000.0,0.0,0.0,-48000000.0,7000000.0,-19000000.0,-17000000.0,0.0,90000000.0,-13000000.0,-19000000,0.0,0.0,0.0,-7000000.0,-26000000.0,0.0,0.0,0.0,0.0,36000000.0,36000000.0,0.0,0.0,0.0,7000000.0,-13000000.0,-19000000.0,-32000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
121,1990-12-31,O5Q.DE,USD,1990-12-31,1990-12-31,Q4,-32000000.0,-41000000.0,0.0,0.0,145000000.0,0.0,0.0,0.0,0.0,82000000.0,162000000.0,-43000000,0.0,0.0,0.0,3000000.0,-48000000.0,0.0,0.0,0.0,0.0,-112000000.0,-112000000.0,0.0,0.0,0.0,0.0,162000000.0,-43000000.0,119000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
122,1990-09-30,O5Q.DE,USD,1990-09-30,1990-09-30,Q3,35000000.0,-47000000.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,100000000.0,101000000.0,-30000000,0.0,0.0,0.0,-9100000.0,-38000000.0,0.0,0.0,0.0,0.0,-65000000.0,-65000000.0,0.0,0.0,0.0,0.0,101000000.0,-30000000.0,71000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
123,1990-06-30,O5Q.DE,USD,1990-06-30,1990-06-30,Q2,39000000.0,-43000000.0,0.0,0.0,-29000000.0,0.0,0.0,0.0,0.0,97000000.0,72000000.0,-29000000,0.0,0.0,0.0,-8900000.0,-38000000.0,0.0,0.0,0.0,0.0,-33000000.0,-33000000.0,0.0,0.0,0.0,0.0,72000000.0,-29000000.0,43000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
124,1990-03-31,O5Q.DE,USD,1990-03-31,1990-03-31,Q1,33000000.0,-41000000.0,0.0,0.0,-71000000.0,0.0,0.0,0.0,0.0,97000000.0,26000000.0,-19000000,0.0,0.0,0.0,-7000000.0,-19000000.0,0.0,0.0,0.0,0.0,-30000000.0,-30000000.0,0.0,0.0,0.0,29000000.0,26000000.0,-19000000.0,7000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
