,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2018-11-01,4.71,5.11,4.7,5.09,138184.0,138184.0,0.42,8.994,4.9544,Nov 1,-0.84434250764526
0,2018-10-31,4.55,4.7499,4.4278,4.67,110199.0,110199.0,0.19,4.241,4.616,Oct 31,-0.8571865443425076
0,2018-10-30,4.95,5.95,4.4,4.48,962357.0,962357.0,0.265,6.287,4.9753,Oct 30,-0.8629969418960245
0,2018-10-29,4.0,4.37,3.9999,4.215,17930.0,17930.0,0.005,0.119,4.1417,Oct 29,-0.8711009174311927
0,2018-10-26,4.11,4.4999,4.11,4.21,38181.0,38181.0,-0.05,-1.174,4.2929,Oct 26,-0.8712538226299694
0,2018-10-25,4.15,4.49,4.15,4.26,22115.0,22115.0,0.135,3.273,4.2791,Oct 25,-0.8697247706422019
0,2018-10-24,4.05,4.35,4.05,4.125,35528.0,35528.0,0.015,0.365,4.245,Oct 24,-0.8738532110091743
0,2018-10-23,3.86,4.16,3.73,4.11,31581.0,31581.0,0.14,3.526,3.9862,Oct 23,-0.8743119266055046
0,2018-10-22,3.7,4.4927,3.7,3.97,26791.0,26791.0,0.35,9.669,3.9319,Oct 22,-0.8785932721712538
0,2018-10-19,3.9,4.1,3.6,3.62,47209.0,47209.0,-0.28,-7.179,3.8289,Oct 19,-0.8892966360856269
0,2018-10-18,3.95,4.12,3.875,3.9,51437.0,51437.0,-0.07,-1.763,3.9708,Oct 18,-0.8807339449541285
0,2018-10-17,4.13,4.4374,3.97,3.97,36188.0,36188.0,-0.26,-6.147,4.1767,Oct 17,-0.8785932721712538
0,2018-10-16,4.0,4.39,4.0,4.23,15415.0,15415.0,0.23,5.75,4.2541,Oct 16,-0.8706422018348624
0,2018-10-15,4.2,4.4,4.0,4.0,16276.0,16276.0,-0.2,-4.762,4.1863,Oct 15,-0.8776758409785933
0,2018-10-12,4.01,4.6199,4.01,4.2,17814.0,17814.0,0.25,6.329,4.3351,Oct 12,-0.8715596330275229
