,date,open,high,low,close,adjClose,change,changePercent,label,changeOverTime,volume,unadjustedVolume,vwap
0,2020-12-29,0.258,0.258,0.258,0.258,0.258,0.0,0.0,"December 29, 20",0.0,,,
0,2020-12-28,0.258,0.258,0.258,0.258,0.258,0.0,0.0,"December 28, 20",0.0,,,
0,2020-12-24,0.258,0.258,0.258,0.258,0.258,0.0,0.0,"December 24, 20",0.0,,,
0,2020-12-23,0.25,0.27,0.25,0.25825,0.2583,0.00825,3.3,"December 23, 20",0.033,32067.0,32067.0,0.25942
0,2020-12-22,0.267,0.267,0.255,0.257,0.257,-0.01,-3.745,"December 22, 20",-0.03745,117300.0,117300.0,0.25967
0,2020-12-21,0.259,0.263,0.255,0.26,0.26,0.001,0.386,"December 21, 20",0.00386,16300.0,16300.0,0.25933
0,2020-12-18,0.26,0.265,0.259,0.26,0.26,0.0,0.0,"December 18, 20",0.0,316700.0,316700.0,0.26133
0,2020-12-17,0.259,0.26,0.256,0.258,0.258,-0.001,-0.386,"December 17, 20",-0.00386,62900.0,62900.0,0.258
0,2020-12-16,0.248,0.26,0.248,0.255,0.255,0.007,2.823,"December 16, 20",0.02823,338300.0,338300.0,0.25433
0,2020-12-15,0.25,0.252,0.247,0.25,0.25,0.0,0.0,"December 15, 20",0.0,149700.0,149700.0,0.24967
0,2020-12-14,0.242,0.255,0.24,0.25,0.25,0.008,3.306,"December 14, 20",0.03306,143600.0,143600.0,0.24833
0,2020-12-11,0.24,0.24,0.238,0.239,0.239,-0.001,-0.417,"December 11, 20",-0.00417,326300.0,326300.0,0.239
0,2020-12-10,0.25,0.25,0.237,0.239,0.239,-0.011,-4.4,"December 10, 20",-0.044,414700.0,414700.0,0.242
0,2020-12-09,0.239,0.244,0.239,0.241,0.241,0.002,0.837,"December 09, 20",0.00837,79500.0,79500.0,0.24133
0,2020-12-08,0.236,0.245,0.236,0.239,0.239,0.003,1.271,"December 08, 20",0.01271,320200.0,320200.0,0.24
0,2020-12-07,0.236,0.244,0.236,0.244,0.244,0.008,3.39,"December 07, 20",0.0339,50700.0,50700.0,0.24133
0,2020-12-04,0.25,0.25,0.229,0.237,0.237,-0.013,-5.2,"December 04, 20",-0.052,78100.0,78100.0,0.23867
0,2020-12-03,0.235,0.241,0.235,0.24,0.24,0.005,2.128,"December 03, 20",0.02128,13800.0,13800.0,0.23867
0,2020-12-02,0.24,0.244,0.235,0.238,0.238,-0.002,-0.833,"December 02, 20",-0.00833,170400.0,170400.0,0.239
0,2020-12-01,0.237,0.25,0.237,0.24,0.24,0.003,1.266,"December 01, 20",0.01266,166300.0,166300.0,0.24233
0,2020-11-30,0.238,0.242,0.232,0.236,0.236,-0.002,-0.84,"November 30, 20",-0.0084,481200.0,481200.0,0.23667
0,2020-11-27,0.234,0.234,0.23,0.23,0.23,-0.004,-1.709,"November 27, 20",-0.01709,1000.0,1000.0,0.23133
0,2020-11-25,0.232,0.238,0.222,0.23,0.23,-0.002,-0.862,"November 25, 20",-0.00862,244300.0,244300.0,0.23
0,2020-11-24,0.23,0.235,0.229,0.232,0.232,0.002,0.87,"November 24, 20",0.0087,130400.0,130400.0,0.232
0,2020-11-23,0.233,0.238,0.227,0.23,0.23,-0.003,-1.288,"November 23, 20",-0.01288,263000.0,263000.0,0.23167
0,2020-11-20,0.237,0.237,0.235,0.235,0.235,-0.002,-0.844,"November 20, 20",-0.00844,6400.0,6400.0,0.23567
0,2020-11-19,0.233,0.239,0.233,0.233,0.233,0.0,0.0,"November 19, 20",0.0,78000.0,78000.0,0.235
0,2020-11-18,0.237,0.245,0.233,0.233,0.233,-0.004,-1.688,"November 18, 20",-0.01688,74400.0,74400.0,0.237
0,2020-11-17,0.229,0.258,0.229,0.25,0.25,0.021,9.17,"November 17, 20",0.0917,123400.0,123400.0,0.24567
0,2020-11-16,0.232,0.24,0.22,0.233,0.233,0.001,0.431,"November 16, 20",0.00431,351400.0,351400.0,0.231
0,2020-11-13,0.23,0.238,0.23,0.232,0.232,0.002,0.87,"November 13, 20",0.0087,119600.0,119600.0,0.23333
0,2020-11-12,0.249,0.25,0.23,0.237,0.237,-0.012,-4.819,"November 12, 20",-0.04819,491000.0,491000.0,0.239
0,2020-11-11,0.309,0.313,0.252,0.254,0.254,-0.055,-17.799,"November 11, 20",-0.17799,1175000.0,1175000.0,0.273
0,2020-11-10,0.309,0.313,0.308,0.31,0.31,0.001,0.324,"November 10, 20",0.00324,55300.0,55300.0,0.31033
0,2020-11-09,0.312,0.314,0.308,0.31,0.31,-0.002,-0.641,"November 09, 20",-0.00641,228800.0,228800.0,0.31067
0,2020-11-06,0.314,0.314,0.306,0.308,0.308,-0.006,-1.911,"November 06, 20",-0.01911,52100.0,52100.0,0.30933
0,2020-11-05,0.318,0.318,0.308,0.31,0.31,-0.008,-2.516,"November 05, 20",-0.02516,137500.0,137500.0,0.312
0,2020-11-04,0.312,0.32,0.305,0.318,0.318,0.006,1.923,"November 04, 20",0.01923,62700.0,62700.0,0.31433
0,2020-11-03,0.304,0.306,0.3,0.304,0.304,0.0,0.0,"November 03, 20",0.0,235000.0,235000.0,0.30333
0,2020-11-02,0.308,0.32,0.304,0.305,0.305,-0.003,-0.974,"November 02, 20",-0.00974,80400.0,80400.0,0.30967
0,2020-10-30,0.3,0.308,0.3,0.305,0.305,0.005,1.667,"October 30, 20",0.01667,380000.0,380000.0,0.30433
0,2020-10-29,0.32,0.35,0.27,0.306,0.306,-0.014,-4.375,"October 29, 20",-0.04375,1861900.0,1861900.0,0.30867
0,2020-10-28,1.6,1.65,1.6,1.65,0.3,0.05,3.125,"October 28, 20",0.03125,273200.0,273200.0,1.63333
0,2020-10-27,1.64,1.66,1.63,1.65,0.3,0.01,0.61,"October 27, 20",0.0061,410700.0,410700.0,1.64667
0,2020-10-26,1.63,1.64,1.61,1.64,0.298182,0.01,0.613,"October 26, 20",0.00613,444700.0,444700.0,1.63
0,2020-10-23,1.61,1.63,1.6,1.625,0.295454,0.015,0.932,"October 23, 20",0.00932,1059000.0,1059000.0,1.61833
0,2020-10-22,1.62,1.62,1.6,1.61,0.292727,-0.01,-0.617,"October 22, 20",-0.00617,1276400.0,1276400.0,1.61
0,2020-10-21,1.6,1.61,1.59,1.61,0.047273,0.01,0.625,"October 21, 20",0.00625,687400.0,687400.0,1.60333
0,2020-10-20,1.61,1.62,1.59,1.61,0.047273,0.0,0.0,"October 20, 20",0.0,1849900.0,1849900.0,1.60667
