,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2020-01-10,5.12,5.12,5.12,5.12,350501.0,350339.0,0.0,0.0,5.7482,Jan 10,0.0
0,2020-01-09,5.12,5.12,5.12,5.12,350679.0,350548.0,0.0,0.0,5.7482,Jan 09,0.0
0,2020-01-08,5.12,5.12,5.12,5.12,351473.0,351715.0,0.0,0.0,5.7482,Jan 08,0.0
0,2020-01-07,5.12,5.12,5.12,5.12,351147.0,350994.0,0.0,0.0,5.7482,Jan 07,0.0
0,2020-01-06,5.12,5.12,5.12,5.12,350408.0,350567.0,0.0,0.0,5.7482,Jan 06,0.0
0,2020-01-03,5.12,5.12,5.12,5.12,350810.0,350515.0,0.0,0.0,5.7482,Jan 03,0.0
0,2020-01-02,5.12,5.12,5.12,5.12,350103.0,349782.0,0.0,0.0,5.7482,Jan 02,0.0
0,2020-01-01,5.12,5.12,5.12,5.12,350956.0,350985.0,0.0,0.0,5.7482,Jan 01,0.0
0,2019-12-31,5.12,5.12,5.12,5.12,350684.0,350435.0,0.0,0.0,5.7482,Dec 31,0.0
0,2019-12-30,5.12,5.12,5.12,5.12,351192.0,351314.0,0.0,0.0,5.7482,Dec 30,0.0
0,2019-12-27,5.12,5.12,5.12,5.12,351377.0,351722.0,0.0,0.0,5.7482,Dec 27,0.0
0,2019-12-26,5.12,5.12,5.12,5.12,349487.0,349450.0,0.0,0.0,5.7482,Dec 26,0.0
0,2019-12-25,5.12,5.12,5.12,5.12,349279.0,349256.0,0.0,0.0,5.7482,Dec 25,0.0
0,2019-12-24,5.12,5.12,5.12,5.12,349729.0,349539.0,0.0,0.0,5.7482,Dec 24,0.0
0,2019-12-23,5.12,5.12,5.12,5.12,349192.0,349491.0,0.0,0.0,5.7482,Dec 23,0.0
0,2019-12-20,5.12,5.12,5.12,5.12,348751.0,348567.0,0.0,0.0,5.7482,Dec 20,0.0
0,2019-12-19,5.12,5.12,5.12,5.12,348959.0,348892.0,0.0,0.0,5.7482,Dec 19,0.0
0,2019-12-18,5.12,5.12,5.12,5.12,349122.0,349308.0,0.0,0.0,5.7482,Dec 18,0.0
