,date,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime,open,high,low,vwap
0,2019-02-20,65.77,100.0,100.0,0.0,0.0,Feb 20,3.5832752613240415,,,,
0,2019-02-19,65.77,15573162.0,15573162.0,2.85,4.53,Feb 19,3.5832752613240415,65.93,66.35,65.58,66.0004
0,2019-02-15,62.92,248785.0,248785.0,0.26,0.415,Feb 15,3.3846689895470385,63.16,63.23,62.65,62.8681
0,2019-02-14,62.66,470038.0,470038.0,0.07,0.112,Feb 14,3.366550522648083,62.44,63.0,62.38,62.7158
0,2019-02-13,62.59,179002.0,179002.0,0.15,0.24,Feb 13,3.361672473867596,62.53,63.01,62.45,62.7094
0,2019-02-12,62.44,160647.0,160647.0,0.59,0.954,Feb 12,3.351219512195122,62.0,62.57,62.0,62.4117
0,2019-02-11,61.85,170778.0,170778.0,-0.02,-0.032,Feb 11,3.3101045296167246,61.98,61.98,61.43,61.7407
0,2019-02-08,61.87,250637.0,250637.0,0.42,0.683,Feb 8,3.311498257839721,61.28,61.93,61.2,61.6154
0,2019-02-07,61.45,575256.0,575256.0,-1.34,-2.134,Feb 7,3.2822299651567945,62.51,62.51,61.17,61.7299
0,2019-02-06,62.79,702952.0,702952.0,0.26,0.416,Feb 6,3.375609756097561,62.28,63.23,62.28,62.9537
0,2019-02-05,62.53,213263.0,213263.0,0.14,0.224,Feb 5,3.3574912891986064,62.63,62.88,62.23,62.4709
0,2019-02-04,62.39,355129.0,355129.0,-0.38,-0.605,Feb 4,3.347735191637631,62.87,62.87,62.0,62.3563
0,2019-02-01,62.77,1014724.0,1014724.0,1.44,2.348,Feb 1,3.3742160278745645,61.4,62.81,61.25,62.0728
0,2019-01-31,61.33,621747.0,621747.0,-0.23,-0.374,Jan 31,3.2738675958188153,61.55,62.18,61.13,61.6166
0,2019-01-30,61.56,732818.0,732818.0,1.79,2.995,Jan 30,3.2898954703832755,60.43,61.68,60.12,61.0983
0,2019-01-29,59.77,804062.0,804062.0,-0.56,-0.928,Jan 29,3.165156794425087,60.56,60.56,59.59,59.8305
0,2019-01-28,60.33,591933.0,591933.0,-0.08,-0.132,Jan 28,3.2041811846689896,59.92,60.62,59.2248,60.2712
0,2019-01-25,60.41,370940.0,370940.0,0.94,1.581,Jan 25,3.2097560975609754,59.77,60.51,59.77,60.2782
0,2019-01-24,59.47,415586.0,415586.0,2.19,3.823,Jan 24,3.144250871080139,57.51,59.66,57.51,59.2598
0,2019-01-23,57.28,693441.0,693441.0,-0.29,-0.504,Jan 23,2.991637630662021,57.5,57.885,56.89,57.2037
0,2019-01-22,57.57,504251.0,504251.0,-0.85,-1.455,Jan 22,3.0118466898954703,57.94,58.0,57.16,57.4512
0,2019-01-18,58.42,549603.0,549603.0,0.33,0.568,"Jan 18, 19",3.0710801393728224,58.21,58.74,58.12,58.3685
