,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2018-10-09,40.98,41.01,40.98,40.99,1863127.0,1863127.0,0.01,0.024,40.9951,Oct 9,0.5359480797838656
0,2018-10-08,40.98,41.0,40.98,40.98,991587.0,991587.0,0.01,0.024,40.9841,Oct 8,0.5355733669076069
0,2018-10-05,40.97,41.0,40.97,40.97,332065.0,332065.0,-0.01,-0.024,40.9797,Oct 5,0.5351986540313484
0,2018-10-04,40.97,40.98,40.97,40.98,395256.0,395256.0,0.0,0.0,40.9738,Oct 4,0.5355733669076069
0,2018-10-03,40.97,41.0,40.95,40.98,625972.0,625972.0,0.03,0.073,40.9694,Oct 3,0.5355733669076069
0,2018-10-02,40.98,41.01,40.95,40.95,1333360.0,1333360.0,-0.02,-0.049,40.9574,Oct 2,0.5344492282788313
0,2018-10-01,40.98,41.01,40.95,40.97,715940.0,715940.0,-0.01,-0.024,40.976,Oct 1,0.5351986540313484
0,2018-09-28,40.98,41.06,40.96,40.98,479370.0,479370.0,0.01,0.024,40.982,Sep 28,0.5355733669076069
0,2018-09-27,40.97,40.99,40.96,40.97,424659.0,424659.0,0.01,0.024,40.9745,Sep 27,0.5351986540313484
0,2018-09-26,40.96,41.0,40.96,40.96,874453.0,874453.0,0.01,0.024,40.9648,Sep 26,0.5348239411550899
0,2018-09-25,40.95,40.975,40.95,40.95,392633.0,392633.0,0.0,0.0,40.9587,Sep 25,0.5344492282788313
0,2018-09-24,40.93,40.96,40.93,40.95,731620.0,731620.0,0.01,0.024,40.9506,Sep 24,0.5344492282788313
0,2018-09-21,40.93,40.99,40.92,40.94,738383.0,738383.0,0.01,0.024,40.9381,Sep 21,0.5340745154025727
0,2018-09-20,40.95,40.96,40.91,40.93,378014.0,378014.0,-0.01,-0.024,40.9375,Sep 20,0.5336998025263141
0,2018-09-19,40.92,40.95,40.92,40.94,710344.0,710344.0,0.02,0.049,40.9376,Sep 19,0.5340745154025727
0,2018-09-18,40.93,40.99,40.92,40.92,571346.0,571346.0,-0.02,-0.049,40.9322,Sep 18,0.5333250896500557
0,2018-09-17,40.93,40.95,40.92,40.94,656559.0,656559.0,0.02,0.049,40.925,Sep 17,0.5340745154025727
0,2018-09-14,40.95,40.96,40.915,40.92,331107.0,331107.0,0.0,0.0,40.9244,Sep 14,0.5333250896500557
0,2018-09-13,40.95,41.0,40.9199,40.92,241039.0,241039.0,0.0,0.0,40.926,Sep 13,0.5333250896500557
0,2018-09-12,40.92,40.95,40.915,40.92,448792.0,448792.0,0.0,0.0,40.9235,Sep 12,0.5333250896500557
0,2018-09-11,40.9,40.99,40.9,40.92,355943.0,355943.0,0.0,0.0,40.9281,Sep 11,0.5333250896500557
0,2018-09-10,40.86,41.05,40.86,40.92,447560.0,447560.0,0.2,0.491,40.9156,Sep 10,0.5333250896500557
0,2018-09-07,40.74,40.8,40.7,40.72,281927.0,281927.0,0.0,0.0,40.7461,"Sep 7, 18",0.5258308321248842
0,2018-09-06,40.73,40.8,40.695,40.72,393801.0,393801.0,-0.01,-0.025,40.7391,"Sep 6, 18",0.5258308321248842
0,2018-09-05,40.69,40.74,40.69,40.73,542204.0,542204.0,0.03,0.074,40.7225,"Sep 5, 18",0.5262055450011427
0,2018-09-04,40.7,40.72,40.68,40.7,540747.0,540747.0,-0.04,-0.098,40.6926,"Sep 4, 18",0.5250814063723672
0,2018-08-31,40.68,40.74,40.66,40.74,997928.0,997928.0,0.06,0.147,40.7123,"Aug 31, 18",0.5265802578774015
0,2018-08-30,40.7,40.72,40.655,40.68,978380.0,978380.0,-0.01,-0.025,40.6837,"Aug 30, 18",0.52433198061985
0,2018-08-29,40.7,40.74,40.68,40.69,888454.0,888454.0,-0.01,-0.025,40.7023,"Aug 29, 18",0.5247066934961084
0,2018-08-28,40.62,40.74,40.62,40.7,574089.0,574089.0,0.1,0.246,40.687,"Aug 28, 18",0.5250814063723672
0,2018-08-27,40.65,40.67,40.595,40.6,379078.0,379078.0,-0.04,-0.098,40.6243,"Aug 27, 18",0.5213342776097815
0,2018-08-24,40.65,40.68,40.63,40.64,429044.0,429044.0,-0.03,-0.074,40.6453,"Aug 24, 18",0.5228331291148157
0,2018-08-23,40.61,40.68,40.61,40.67,394820.0,394820.0,0.1,0.246,40.6373,"Aug 23, 18",0.5239572677435915
0,2018-08-22,40.61,40.64,40.565,40.57,751801.0,751801.0,-0.03,-0.074,40.5987,"Aug 22, 18",0.5202101389810058
0,2018-08-21,40.64,40.66,40.6,40.6,781681.0,781681.0,-0.02,-0.049,40.6102,"Aug 21, 18",0.5213342776097815
0,2018-08-20,40.61,40.68,40.57,40.62,579801.0,579801.0,0.05,0.123,40.6186,"Aug 20, 18",0.5220837033622985
0,2018-08-17,40.72,40.72,40.57,40.57,987501.0,987501.0,-0.17,-0.417,40.6172,"Aug 17, 18",0.5202101389810058
0,2018-08-16,40.66,40.75,40.645,40.74,322019.0,322019.0,0.05,0.123,40.6937,"Aug 16, 18",0.5265802578774015
0,2018-08-15,40.65,40.69,40.59,40.69,866567.0,866567.0,0.04,0.098,40.6507,"Aug 15, 18",0.5247066934961084
0,2018-08-14,40.61,40.75,40.61,40.65,469335.0,469335.0,0.05,0.123,40.6772,"Aug 14, 18",0.5232078419910743
0,2018-08-13,40.63,40.68,40.58,40.6,538496.0,538496.0,0.0,0.0,40.6219,"Aug 13, 18",0.5213342776097815
0,2018-08-10,40.6,40.7,40.58,40.6,640055.0,640055.0,-0.06,-0.148,40.6152,"Aug 10, 18",0.5213342776097815
0,2018-08-09,40.58,40.69,40.555,40.66,542511.0,542511.0,0.09,0.222,40.6123,"Aug 9, 18",0.5235825548673327
0,2018-08-08,40.58,40.67,40.535,40.57,781869.0,781869.0,0.0,0.0,40.5684,"Aug 8, 18",0.5202101389810058
0,2018-08-07,40.6,40.69,40.54,40.57,746349.0,746349.0,0.0,0.0,40.5973,"Aug 7, 18",0.5202101389810058
0,2018-08-06,40.63,40.8,40.54,40.57,858127.0,858127.0,-0.03,-0.074,40.6782,"Aug 6, 18",0.5202101389810058
0,2018-08-03,40.55,40.695,40.495,40.6,1314473.0,1314473.0,0.07,0.173,40.5476,"Aug 3, 18",0.5213342776097815
0,2018-08-02,40.53,40.59,40.51,40.53,1075495.0,1075495.0,-0.02,-0.049,40.5427,"Aug 2, 18",0.5187112874759715
0,2018-08-01,40.57,40.67,40.5,40.55,1074662.0,1074662.0,-0.04,-0.099,40.5586,"Aug 1, 18",0.5194607132284885
0,2018-07-31,40.63,40.7,40.46,40.59,1698560.0,1698560.0,-0.07,-0.172,40.5497,"Jul 31, 18",0.520959564733523
