,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime,vwap
0,2020-01-10,15.57,15.57,15.57,15.57,0.0,0.0,0.0,0.0,Jan 10,1.3200000000000003,
0,2020-01-09,14.25,15.57,14.25,15.57,0.0,0.0,1.3200000000000003,9.263157894736844,Jan 09,1.3200000000000003,
0,2020-01-08,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 08,0.0,
0,2020-01-07,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 07,0.0,
0,2020-01-06,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 06,0.0,
0,2020-01-03,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 03,0.0,
0,2020-01-02,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 02,0.0,
0,2020-01-01,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Jan 01,0.0,
0,2019-12-31,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 31,0.0,
0,2019-12-30,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 30,0.0,
0,2019-12-27,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 27,0.0,
0,2019-12-26,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 26,0.0,
0,2019-12-25,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 25,0.0,
0,2019-12-24,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 24,0.0,
0,2019-12-23,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 23,0.0,
0,2019-12-20,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 20,0.0,
0,2019-12-19,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 19,0.0,
0,2019-12-18,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 18,0.0,
0,2019-12-17,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 17,0.0,
0,2019-12-16,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 16,0.0,
0,2019-12-13,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 13,0.0,
0,2019-12-12,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 12,0.0,
0,2019-12-11,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 11,0.0,
0,2019-12-10,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 10,0.0,
0,2019-12-09,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 09,0.0,
0,2019-12-06,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 06,0.0,
0,2019-12-05,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 05,0.0,
0,2019-12-04,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 04,0.0,
0,2019-12-03,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 03,0.0,
0,2019-12-02,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Dec 02,0.0,
0,2019-11-29,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 29,0.0,
0,2019-11-28,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 28,0.0,
0,2019-11-27,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 27,0.0,
0,2019-11-26,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 26,0.0,
0,2019-11-25,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 25,0.0,
0,2019-11-22,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 22,0.0,
0,2019-11-21,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 21,0.0,
0,2019-11-20,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 20,0.0,
0,2019-11-19,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 19,0.0,
0,2019-11-18,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 18,0.0,
0,2019-11-15,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,Nov 15,-2.6700000000000017,
0,2019-11-14,16.92,16.92,14.25,14.25,0.0,0.0,-2.6700000000000017,-15.78014184397164,Nov 14,-2.6700000000000017,
0,2019-11-13,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 13,0.0,
0,2019-11-12,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 12,0.0,
0,2019-11-11,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 11,0.0,
0,2019-11-08,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 08,0.0,
0,2019-11-07,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 07,0.0,
0,2019-11-06,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 06,0.0,
0,2019-11-05,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 05,0.0,
0,2019-11-04,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 04,0.0,
0,2019-11-01,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Nov 01,0.0,
0,2019-10-31,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 31,0.0,
0,2019-10-30,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 30,0.0,
0,2019-10-29,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 29,0.0,
0,2019-10-28,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 28,0.0,
0,2019-10-25,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 25,0.0,
0,2019-10-24,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 24,0.0,
0,2019-10-23,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 23,0.0,
0,2019-10-22,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 22,0.0,
0,2019-10-21,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 21,0.0,
0,2019-10-18,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 18,0.0,
0,2019-10-17,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 17,0.0,
0,2019-10-16,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 16,0.0,
0,2019-10-15,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 15,0.0,
0,2019-10-14,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 14,0.0,
0,2019-10-11,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 11,0.0,
0,2019-10-10,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 10,0.0,
0,2019-10-09,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 09,0.0,
0,2019-10-08,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 08,0.0,
0,2019-10-07,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 07,0.0,
0,2019-10-04,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 04,0.0,
0,2019-10-03,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 03,0.0,
0,2019-10-02,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 02,0.0,
0,2019-10-01,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Oct 01,0.0,
0,2019-09-30,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 30,0.0,
0,2019-09-27,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 27,0.0,
0,2019-09-26,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 26,0.0,
0,2019-09-25,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 25,0.0,
0,2019-09-24,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 24,0.0,
0,2019-09-23,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 23,0.0,
0,2019-09-20,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 20,0.0,
0,2019-09-19,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 19,0.0,
0,2019-09-18,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 18,0.0,
0,2019-09-17,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 17,0.0,
0,2019-09-16,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 16,0.0,
0,2019-09-13,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 13,0.0,
0,2019-09-12,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 12,0.0,
0,2019-09-11,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 11,0.0,
0,2019-09-10,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 10,0.0,
0,2019-09-09,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 09,0.0,
0,2019-09-06,16.92,16.92,16.92,16.92,0.0,0.0,0.0,0.0,Sep 06,0.0,
