,sectors_list,symbols_list
301,Basic Materials,NUE
302,Basic Materials,NVG.LS
303,Basic Materials,NYR.BR
304,Basic Materials,OCI.AS
305,Basic Materials,OCIP
306,Basic Materials,ODC
307,Basic Materials,OGC.TO
308,Basic Materials,OGD.TO
309,Basic Materials,OLN
310,Basic Materials,OMI.TO
311,Basic Materials,OMN
312,Basic Materials,OR.TO
313,Basic Materials,ORA.TO
314,Basic Materials,ORAP.PA
315,Basic Materials,ORL.TO
316,Basic Materials,ORV.TO
317,Basic Materials,OR
318,Basic Materials,OSB.TO
319,Basic Materials,OSB
320,Basic Materials,OSK.TO
321,Basic Materials,OSN
322,Basic Materials,PAAS
323,Basic Materials,PCA.PA
324,Basic Materials,PG.TO
325,Basic Materials,PGEM
326,Basic Materials,PGLC
327,Basic Materials,PKX
328,Basic Materials,PLG
329,Basic Materials,PLM
330,Basic Materials,POL
331,Basic Materials,POM.TO
332,Basic Materials,POPE
333,Basic Materials,PPG
334,Basic Materials,PQG
335,Basic Materials,PRU.TO
336,Basic Materials,PTM.TO
337,Basic Materials,PVG.TO
338,Basic Materials,PVG
339,Basic Materials,PX
340,Basic Materials,PZG
341,Basic Materials,RAM.LS
342,Basic Materials,RBT.PA
343,Basic Materials,REC.BR
344,Basic Materials,RETO
345,Basic Materials,RFP.TO
346,Basic Materials,RFP
347,Basic Materials,RGLD
348,Basic Materials,RKDA
349,Basic Materials,RPM
350,Basic Materials,RS
351,Basic Materials,RTG.TO
352,Basic Materials,RX.PA
353,Basic Materials,RYAM
354,Basic Materials,S.TO
355,Basic Materials,SAM.TO
356,Basic Materials,SAND
357,Basic Materials,SAU.TO
358,Basic Materials,SA
359,Basic Materials,SBB.TO
360,Basic Materials,SBI.TO
361,Basic Materials,SBR.TO
362,Basic Materials,SBSW
363,Basic Materials,SCCO
364,Basic Materials,SCHD.BR
365,Basic Materials,SCHN
366,Basic Materials,SCL
367,Basic Materials,SCY.TO
368,Basic Materials,SEA.TO
369,Basic Materials,SEED
370,Basic Materials,SEM.LS
371,Basic Materials,SES
372,Basic Materials,SHLM
373,Basic Materials,SHW
374,Basic Materials,SID
375,Basic Materials,SILV
376,Basic Materials,SJ.TO
377,Basic Materials,SLR.TO
378,Basic Materials,SMC.TO
379,Basic Materials,SMG
380,Basic Materials,SMT.TO
381,Basic Materials,SMTS
382,Basic Materials,SNES
383,Basic Materials,SNMX
384,Basic Materials,SOLB.BR
385,Basic Materials,SOLV.BR
386,Basic Materials,SONI.LS
387,Basic Materials,SQM
388,Basic Materials,SSL.TO
389,Basic Materials,SSRM
390,Basic Materials,STAL.PA
391,Basic Materials,STLD
392,Basic Materials,SUM
393,Basic Materials,SVM.TO
394,Basic Materials,SVM
395,Basic Materials,SWM
396,Basic Materials,SXCP
397,Basic Materials,SXC
398,Basic Materials,SXT
399,Basic Materials,SYNL
400,Basic Materials,TANH
401,Basic Materials,TECK
402,Basic Materials,TESB.BR
403,Basic Materials,TGB
404,Basic Materials,TGZ.TO
405,Basic Materials,TG
406,Basic Materials,THM
407,Basic Materials,TITC.BR
408,Basic Materials,TKO.TO
409,Basic Materials,TLO.TO
410,Basic Materials,TML.TO
411,Basic Materials,TMQ.TO
412,Basic Materials,TMQ
413,Basic Materials,TMR.TO
414,Basic Materials,TMST
415,Basic Materials,TNH
416,Basic Materials,TNX.TO
417,Basic Materials,TREC
418,Basic Materials,TROX
419,Basic Materials,TRQ.TO
420,Basic Materials,TRQ
421,Basic Materials,TRX
422,Basic Materials,TSE
423,Basic Materials,TSL.TO
424,Basic Materials,TV.TO
425,Basic Materials,TXG.TO
426,Basic Materials,TX
427,Basic Materials,UAMY
428,Basic Materials,UAN
429,Basic Materials,UEX.TO
430,Basic Materials,UFPI
431,Basic Materials,UFS.TO
432,Basic Materials,UFS
433,Basic Materials,UNVR
434,Basic Materials,USA.TO
435,Basic Materials,USAP
436,Basic Materials,USAS
437,Basic Materials,USAU
438,Basic Materials,USCR
439,Basic Materials,USG
440,Basic Materials,USLM
441,Basic Materials,VALE
442,Basic Materials,VCT.PA
443,Basic Materials,VEDL
444,Basic Materials,VGZ.TO
445,Basic Materials,VGZ
446,Basic Materials,VHI
447,Basic Materials,VIO.BR
448,Basic Materials,VK.PA
449,Basic Materials,VMC
450,Basic Materials,VNP.TO
451,Basic Materials,VNTR
452,Basic Materials,VRS
453,Basic Materials,VSM
454,Basic Materials,WDFC
455,Basic Materials,WDO.TO
456,Basic Materials,WEF.TO
457,Basic Materials,WFT.TO
458,Basic Materials,WLKP
459,Basic Materials,WLK
460,Basic Materials,WM.TO
461,Basic Materials,WMLP
462,Basic Materials,WOR
463,Basic Materials,WPM
464,Basic Materials,WRN.TO
465,Basic Materials,WRN
466,Basic Materials,WWR
467,Basic Materials,XPL
468,Basic Materials,XTG.TO
469,Basic Materials,X
470,Basic Materials,YECO
471,Basic Materials,YRI.TO
472,Basic Materials,YTEN
473,Basic Materials,ZEUS
474,Basic Materials,ZKIN
475,Communication Services,ADUX.PA
476,Communication Services,AESE
477,Communication Services,AHC
478,Communication Services,ALACT.PA
479,Communication Services,ALADM.PA
480,Communication Services,ALALO.PA
481,Communication Services,ALANT.PA
482,Communication Services,ALATF.PA
483,Communication Services,ALBDM.PA
484,Communication Services,ALBLD.PA
485,Communication Services,ALBUD.PA
486,Communication Services,ALDNE.PA
487,Communication Services,ALEMK.BR
488,Communication Services,ALENT.PA
489,Communication Services,ALFIL.PA
490,Communication Services,ALFOC.PA
491,Communication Services,ALINV.PA
492,Communication Services,ALKER.PA
493,Communication Services,ALLLN.PA
494,Communication Services,ALMAK.PA
495,Communication Services,ALMIL.PA
496,Communication Services,ALMNG.PA
497,Communication Services,ALNXT.PA
498,Communication Services,ALOSM.PA
499,Communication Services,ALP.PA
500,Communication Services,ALPLA.PA
501,Communication Services,ALPRI.PA
502,Communication Services,ALREW.PA
503,Communication Services,ALSEI.PA
504,Communication Services,ALSK
505,Communication Services,ALTBG.PA
506,Communication Services,ALWIT.PA
507,Communication Services,AMCX
508,Communication Services,AMC
509,Communication Services,AMOV
510,Communication Services,AND.AS
511,Communication Services,ANGI
512,Communication Services,ANTE
513,Communication Services,ATA.PA
514,Communication Services,ATC.AS
515,Communication Services,ATEX
516,Communication Services,ATHM
517,Communication Services,ATNI
518,Communication Services,ATUS
519,Communication Services,ATVI
520,Communication Services,AUTO
521,Communication Services,AVID
522,Communication Services,BATRA
523,Communication Services,BBGI
524,Communication Services,BCE.TO
525,Communication Services,BCE
526,Communication Services,BCOM
527,Communication Services,BHAT
528,Communication Services,BIDU
529,Communication Services,BILI
530,Communication Services,BITA
531,Communication Services,BOL.PA
532,Communication Services,BOMN
533,Communication Services,BRILL.AS
534,Communication Services,CABO
535,Communication Services,CALL
536,Communication Services,CANG
537,Communication Services,CARG
538,Communication Services,CBB
539,Communication Services,CCA.TO
540,Communication Services,CCOI
541,Communication Services,CCO
542,Communication Services,CDLX
543,Communication Services,CEL
544,Communication Services,CFN.LS
545,Communication Services,CGO.TO
546,Communication Services,CGX.TO
547,Communication Services,CHA
548,Communication Services,CHTR
549,Communication Services,CHU
550,Communication Services,CIDM
551,Communication Services,CJR-B.TO
552,Communication Services,CMCSA
553,Communication Services,CMLS
554,Communication Services,CMPR
555,Communication Services,CNET
556,Communication Services,CNK
557,Communication Services,CNSL
558,Communication Services,CSSEP
559,Communication Services,CSSE
560,Communication Services,CTL
561,Communication Services,DAO
562,Communication Services,DEC.PA
563,Communication Services,DISCA
564,Communication Services,DISCB
565,Communication Services,DISCK
566,Communication Services,DISH
567,Communication Services,DJCO
568,Communication Services,DLB
569,Communication Services,DLPN
570,Communication Services,DLX
571,Communication Services,DOYU
572,Communication Services,EA
573,Communication Services,ECP.PA
574,Communication Services,EDUC
575,Communication Services,EEX
576,Communication Services,EMMS
577,Communication Services,ENT
578,Communication Services,EROS
579,Communication Services,ETM
580,Communication Services,EVC
581,Communication Services,EVER
582,Communication Services,FB
583,Communication Services,FENG
584,Communication Services,FLNT
585,Communication Services,FOXA
586,Communication Services,FOX
587,Communication Services,FSNN
588,Communication Services,FTRPR
589,Communication Services,FTR
590,Communication Services,FVRR
591,Communication Services,GAIA
592,Communication Services,GAM.PA
593,Communication Services,GCI
594,Communication Services,GCT.TO
595,Communication Services,GIGM
596,Communication Services,GLIBA
597,Communication Services,GLIBP
598,Communication Services,GLOW
599,Communication Services,GLUU
600,Communication Services,GNUS
601,Communication Services,GOGO
602,Communication Services,GOOGL
603,Communication Services,GOOG
604,Communication Services,GREV.PA
605,Communication Services,GRUB
606,Communication Services,GRVY
607,Communication Services,GSAT
608,Communication Services,GTN-A
609,Communication Services,GTN
610,Communication Services,GTT
611,Communication Services,GVC.TO
612,Communication Services,HCHC
613,Communication Services,HCO.PA
614,Communication Services,HCOM
615,Communication Services,HHS
616,Communication Services,HMTV
617,Communication Services,HOP.PA
618,Communication Services,HUYA
619,Communication Services,IAC
620,Communication Services,IAM.PA
621,Communication Services,ICLK
622,Communication Services,IDCC
623,Communication Services,IDT
624,Communication Services,IHRT
625,Communication Services,ILD.PA
626,Communication Services,IMAX
627,Communication Services,IMTE
628,Communication Services,INUV
629,Communication Services,INWK
630,Communication Services,IPAS
631,Communication Services,IPG
632,Communication Services,IPR.LS
633,Communication Services,IPS.PA
634,Communication Services,IQ
635,Communication Services,IRDMB
636,Communication Services,IRDM
637,Communication Services,ISIG
638,Communication Services,IZEA
639,Communication Services,JFIN
640,Communication Services,JW-A
641,Communication Services,JW-B
642,Communication Services,KIN.BR
643,Communication Services,KLR
644,Communication Services,KPN.AS
645,Communication Services,KRKR
646,Communication Services,KT
647,Communication Services,LBRDA
648,Communication Services,LBRDK
649,Communication Services,LBTYA
650,Communication Services,LBTYB
651,Communication Services,LBTYK
652,Communication Services,LEAF
653,Communication Services,LEE
654,Communication Services,LGF-A
655,Communication Services,LGF-B
656,Communication Services,LILAK
657,Communication Services,LILA
658,Communication Services,LIVX
659,Communication Services,LIZI
660,Communication Services,LKCO
661,Communication Services,LN
662,Communication Services,LOCAL.PA
663,Communication Services,LOV
664,Communication Services,LSXMA
665,Communication Services,LSXMB
666,Communication Services,LSXMK
667,Communication Services,LTRPA
668,Communication Services,LTRPB
669,Communication Services,LYV
670,Communication Services,MAGIS.PA
671,Communication Services,MARK
672,Communication Services,MCHX
673,Communication Services,MCP.LS
674,Communication Services,MCS
675,Communication Services,MDCA
676,Communication Services,MDF.TO
677,Communication Services,MDIA
678,Communication Services,MDP
679,Communication Services,MDW.PA
680,Communication Services,MEET
681,Communication Services,MLEDS.PA
682,Communication Services,MLHPE.PA
683,Communication Services,MLIML.PA
684,Communication Services,MLIMP.PA
685,Communication Services,MLNEO.PA
686,Communication Services,MLVST.PA
687,Communication Services,MLWEA.PA
688,Communication Services,MMT.PA
689,Communication Services,MOMO
690,Communication Services,MOXC
691,Communication Services,MSGE
692,Communication Services,MSGN
693,Communication Services,MSGS
694,Communication Services,MTCH
695,Communication Services,MTSL
696,Communication Services,NCMI
697,Communication Services,NCTY
698,Communication Services,NFLX
699,Communication Services,NIHD
700,Communication Services,NOS.LS
701,Communication Services,NRG.PA
702,Communication Services,NTES
703,Communication Services,NTN
704,Communication Services,NWSA
705,Communication Services,NWS
706,Communication Services,NXST
707,Communication Services,NYT
708,Communication Services,OBEL.BR
709,Communication Services,OMC
710,Communication Services,OOMA
711,Communication Services,ORA.PA
712,Communication Services,ORAN
713,Communication Services,ORBC
714,Communication Services,OTEL
715,Communication Services,PCOM
716,Communication Services,PERI
717,Communication Services,PHR.LS
718,Communication Services,PINS
719,Communication Services,PRC.PA
720,Communication Services,PROX.BR
721,Communication Services,PSO
722,Communication Services,PTNR
723,Communication Services,PTS.TO
724,Communication Services,PUB.PA
725,Communication Services,QNST
726,Communication Services,QTT
727,Communication Services,QUOT
728,Communication Services,RBBN
729,Communication Services,RCI
730,Communication Services,RDIB
731,Communication Services,RDI
732,Communication Services,RELX
733,Communication Services,REN.AS
734,Communication Services,RNWK
735,Communication Services,ROKU
736,Communication Services,ROU.BR
737,Communication Services,SALM
738,Communication Services,SBGI
739,Communication Services,SCHL
740,Communication Services,SCOR
741,Communication Services,SCPL
742,Communication Services,SESG.PA
743,Communication Services,SE
744,Communication Services,SGA
745,Communication Services,SHEN
746,Communication Services,SIFY
747,Communication Services,SINA
748,Communication Services,SIRI
749,Communication Services,SITO
750,Communication Services,SJR
751,Communication Services,SKM
752,Communication Services,SLGG
753,Communication Services,SNAP
754,Communication Services,SOGO
755,Communication Services,SOHU
756,Communication Services,SPI.PA
757,Communication Services,SPOK
758,Communication Services,SPOT
759,Communication Services,SRAX
760,Communication Services,SSP
761,Communication Services,SSTK
762,Communication Services,S
763,Communication Services,T.TO
764,Communication Services,TCH.PA
765,Communication Services,TC
766,Communication Services,TDA
767,Communication Services,TDS
768,Communication Services,TEF
769,Communication Services,TEUM
770,Communication Services,TFI.PA
771,Communication Services,TGNA
772,Communication Services,TGO.TO
773,Communication Services,TKC
774,Communication Services,TKWY.AS
775,Communication Services,TLK
776,Communication Services,TME
777,Communication Services,TMUS
778,Communication Services,TNET.BR
779,Communication Services,TPCO
780,Communication Services,TRVG
781,Communication Services,TSQ
782,Communication Services,TSU
783,Communication Services,TTGT
784,Communication Services,TTWO
785,Communication Services,TU
786,Communication Services,TWLO
787,Communication Services,TWTR
788,Communication Services,T
789,Communication Services,UBI.PA
790,Communication Services,UCL
791,Communication Services,UONEK
792,Communication Services,UONE
793,Communication Services,USM
794,Communication Services,UXIN
795,Communication Services,UZA
796,Communication Services,VEON.AS
797,Communication Services,VEON
798,Communication Services,VG
799,Communication Services,VIACA
800,Communication Services,VIAC
801,Communication Services,VIV.PA
802,Communication Services,VIV
803,Communication Services,VOD
804,Communication Services,VZA
805,Communication Services,VZ
806,Communication Services,WIFI
807,Communication Services,WIMI
808,Communication Services,WKL.AS
809,Communication Services,WMG
810,Communication Services,WOW
811,Communication Services,WPP
812,Communication Services,WSG
813,Communication Services,WUBA
814,Communication Services,WWE
815,Communication Services,XIL.PA
816,Communication Services,XNET
817,Communication Services,Y.TO
818,Communication Services,YELP
819,Communication Services,YNDX
820,Communication Services,YVR
821,Communication Services,YY
822,Communication Services,ZG
823,Communication Services,ZM
824,Communication Services,ZNGA
825,Communication Services,Z
826,Consumer Cyclical,AAP
827,Consumer Cyclical,ABEO.PA
828,Consumer Cyclical,ABG
829,Consumer Cyclical,AC.PA
830,Consumer Cyclical,ACCEL.AS
831,Consumer Cyclical,ACEL
832,Consumer Cyclical,ACQ.TO
833,Consumer Cyclical,ADNT
834,Consumer Cyclical,ADOM
835,Consumer Cyclical,AEO
836,Consumer Cyclical,AGS
837,Consumer Cyclical,AIN
838,Consumer Cyclical,AJAX.AS
839,Consumer Cyclical,AKW.PA
840,Consumer Cyclical,ALBI.PA
841,Consumer Cyclical,ALBOU.PA
842,Consumer Cyclical,ALCES.PA
843,Consumer Cyclical,ALCYB.PA
844,Consumer Cyclical,ALDAR.PA
845,Consumer Cyclical,ALDBL.PA
846,Consumer Cyclical,ALDEL.PA
847,Consumer Cyclical,ALDEV.PA
848,Consumer Cyclical,ALEMV.PA
849,Consumer Cyclical,ALFBA.PA
850,Consumer Cyclical,ALFPC.PA
851,Consumer Cyclical,ALGAU.PA
852,Consumer Cyclical,ALGEV.PA
853,Consumer Cyclical,ALGIL.PA
854,Consumer Cyclical,ALLDL.PA
855,Consumer Cyclical,ALLEX.PA
856,Consumer Cyclical,ALLHB.PA
857,Consumer Cyclical,ALMLB.PA
858,Consumer Cyclical,ALMND.PA
859,Consumer Cyclical,ALNLF.PA
860,Consumer Cyclical,ALPAR.PA
861,Consumer Cyclical,ALPDX.PA
862,Consumer Cyclical,ALPHS.PA
863,Consumer Cyclical,ALSN
864,Consumer Cyclical,ALTAN.PA
865,Consumer Cyclical,ALU10.PA
866,Consumer Cyclical,ALUNT.PA
867,Consumer Cyclical,ALUPG.PA
868,Consumer Cyclical,ALVDM.PA
869,Consumer Cyclical,ALVIA.PA
870,Consumer Cyclical,ALVU.PA
871,Consumer Cyclical,ALV
872,Consumer Cyclical,ALX.AS
873,Consumer Cyclical,AMCR
874,Consumer Cyclical,AMWD
875,Consumer Cyclical,AMZN
876,Consumer Cyclical,ANF
877,Consumer Cyclical,ANTA.PA
878,Consumer Cyclical,AN
879,Consumer Cyclical,APEX
880,Consumer Cyclical,APRN
881,Consumer Cyclical,APTV
882,Consumer Cyclical,ARCO
883,Consumer Cyclical,ARD
884,Consumer Cyclical,ARKR
885,Consumer Cyclical,ARMK
886,Consumer Cyclical,ASNA
887,Consumer Cyclical,ASP.PA
888,Consumer Cyclical,ATI.PA
889,Consumer Cyclical,ATR
890,Consumer Cyclical,ATV
891,Consumer Cyclical,ATZ.TO
892,Consumer Cyclical,AUGR.PA
893,Consumer Cyclical,AVHI
894,Consumer Cyclical,AXL
895,Consumer Cyclical,AYRO
896,Consumer Cyclical,AZO
897,Consumer Cyclical,BABA
898,Consumer Cyclical,BAIN.PA
899,Consumer Cyclical,BALTA.BR
900,Consumer Cyclical,BBBY
901,Consumer Cyclical,BBED.AS
902,Consumer Cyclical,BBQ
903,Consumer Cyclical,BBRG
904,Consumer Cyclical,BBW
905,Consumer Cyclical,BBX
906,Consumer Cyclical,BBY
907,Consumer Cyclical,BCI.TO
908,Consumer Cyclical,BC
909,Consumer Cyclical,BDL
910,Consumer Cyclical,BELI.PA
911,Consumer Cyclical,BEL
912,Consumer Cyclical,BEN.PA
913,Consumer Cyclical,BERY
914,Consumer Cyclical,BFAM
915,Consumer Cyclical,BFIT.AS
916,Consumer Cyclical,BGFV
917,Consumer Cyclical,BGI
918,Consumer Cyclical,BH-A
919,Consumer Cyclical,BH
920,Consumer Cyclical,BID
921,Consumer Cyclical,BJRI
922,Consumer Cyclical,BKE
923,Consumer Cyclical,BKNG
924,Consumer Cyclical,BKS
925,Consumer Cyclical,BLBD
926,Consumer Cyclical,BLL
927,Consumer Cyclical,BLMN
928,Consumer Cyclical,BLNK
929,Consumer Cyclical,BMS
930,Consumer Cyclical,BNED
931,Consumer Cyclical,BOJA
932,Consumer Cyclical,BOOT
933,Consumer Cyclical,BOY.TO
934,Consumer Cyclical,BSET
935,Consumer Cyclical,BTN
936,Consumer Cyclical,BUI.PA
937,Consumer Cyclical,BUR.PA
938,Consumer Cyclical,BURG
939,Consumer Cyclical,BURL
940,Consumer Cyclical,BWA
941,Consumer Cyclical,BXG
942,Consumer Cyclical,BYD
943,Consumer Cyclical,BZH
944,Consumer Cyclical,BZUN
945,Consumer Cyclical,CAAS
946,Consumer Cyclical,CAFO.PA
947,Consumer Cyclical,CAKE
948,Consumer Cyclical,CALI
949,Consumer Cyclical,CAL
950,Consumer Cyclical,CARS
951,Consumer Cyclical,CATG.PA
952,Consumer Cyclical,CATO
953,Consumer Cyclical,CBD
954,Consumer Cyclical,CBK
955,Consumer Cyclical,CBRL
956,Consumer Cyclical,CBS
957,Consumer Cyclical,CCK
958,Consumer Cyclical,CCL
