,sectors_list,symbols_list
0,Basic Materials,AAU
1,Basic Materials,AA
2,Basic Materials,ABX.TO
3,Basic Materials,ACET
4,Basic Materials,ACH
5,Basic Materials,ADN.TO
6,Basic Materials,AEM.TO
7,Basic Materials,AEM
8,Basic Materials,AGI.TO
9,Basic Materials,AGI
10,Basic Materials,AG
11,Basic Materials,AHGP
12,Basic Materials,AI.PA
13,Basic Materials,AKE.PA
14,Basic Materials,AKS
15,Basic Materials,AKZA.AS
16,Basic Materials,ALAMG.PA
17,Basic Materials,ALBKK.PA
18,Basic Materials,ALB
19,Basic Materials,ALCOG.PA
20,Basic Materials,ALCOI.PA
21,Basic Materials,ALCRB.PA
22,Basic Materials,ALDUB.PA
23,Basic Materials,ALEO2.PA
24,Basic Materials,ALGLD.PA
25,Basic Materials,ALHRG.PA
26,Basic Materials,ALMOU.PA
27,Basic Materials,ALO
28,Basic Materials,ALS.TO
29,Basic Materials,ALTR.LS
30,Basic Materials,AMEBA.PA
31,Basic Materials,AMG.AS
32,Basic Materials,AMM.TO
33,Basic Materials,AMRS
34,Basic Materials,ANX.TO
35,Basic Materials,APAM.AS
36,Basic Materials,APA
37,Basic Materials,APD
38,Basic Materials,APY.TO
39,Basic Materials,AQA.TO
40,Basic Materials,AR.TO
41,Basic Materials,ARG.TO
42,Basic Materials,ASH
43,Basic Materials,ASIX
44,Basic Materials,ASM
45,Basic Materials,ASR.TO
46,Basic Materials,AUG.TO
47,Basic Materials,AUG
48,Basic Materials,AUMN
49,Basic Materials,AUY
50,Basic Materials,AU
51,Basic Materials,AVD
52,Basic Materials,AVL.TO
53,Basic Materials,AVTR
54,Basic Materials,AVTX.AS
55,Basic Materials,AXS.AS
56,Basic Materials,AXTA
57,Basic Materials,AXU
58,Basic Materials,AYM.TO
59,Basic Materials,BAK
60,Basic Materials,BBL
61,Basic Materials,BCC
62,Basic Materials,BCPC
63,Basic Materials,BHP
64,Basic Materials,BIOX
65,Basic Materials,BKI.TO
66,Basic Materials,BOS.TO
67,Basic Materials,BSX.TO
68,Basic Materials,BTG
69,Basic Materials,BTO.TO
70,Basic Materials,BVN
71,Basic Materials,CADC
72,Basic Materials,CAL.TO
73,Basic Materials,CAS.TO
74,Basic Materials,CBPX
75,Basic Materials,CBT
76,Basic Materials,CCF
77,Basic Materials,CCM.TO
78,Basic Materials,CC
79,Basic Materials,CDE
80,Basic Materials,CEE.TO
81,Basic Materials,CENX
82,Basic Materials,CE
83,Basic Materials,CFF.TO
84,Basic Materials,CFP.TO
85,Basic Materials,CFX.TO
86,Basic Materials,CF
87,Basic Materials,CG.TO
88,Basic Materials,CGA
89,Basic Materials,CGG.TO
90,Basic Materials,CHNR
91,Basic Materials,CIA.TO
92,Basic Materials,CINR
93,Basic Materials,CLF
94,Basic Materials,CLW
95,Basic Materials,CMC
96,Basic Materials,CMP
97,Basic Materials,CMT
98,Basic Materials,CNT.TO
99,Basic Materials,COR.LS
100,Basic Materials,CPAC
101,Basic Materials,CRBN.AS
102,Basic Materials,CRH
103,Basic Materials,CS.TO
104,Basic Materials,CSTE
105,Basic Materials,CSTM
106,Basic Materials,CTVA
107,Basic Materials,CWX.TO
108,Basic Materials,CX
109,Basic Materials,DD
110,Basic Materials,DNG.TO
111,Basic Materials,DNT.TO
112,Basic Materials,DOW
113,Basic Materials,DPM.TO
114,Basic Materials,DRD
115,Basic Materials,DSM.AS
116,Basic Materials,ECL
117,Basic Materials,ECO.TO
118,Basic Materials,EDR.TO
119,Basic Materials,EDV.TO
120,Basic Materials,EGO
121,Basic Materials,ELD.TO
122,Basic Materials,ELR.TO
123,Basic Materials,EMN
124,Basic Materials,EMX
125,Basic Materials,ENGB.BR
126,Basic Materials,EOX.TO
127,Basic Materials,EQX
128,Basic Materials,ER.TO
129,Basic Materials,ERA.PA
130,Basic Materials,ERD.TO
131,Basic Materials,ESI
132,Basic Materials,ESM.TO
133,Basic Materials,ETG.TO
134,Basic Materials,EUR.PA
135,Basic Materials,EVA
136,Basic Materials,EXAC.PA
137,Basic Materials,EXK
138,Basic Materials,EXN.TO
139,Basic Materials,EXPL.PA
140,Basic Materials,EXP
141,Basic Materials,FAR.TO
142,Basic Materials,FCX
143,Basic Materials,FELP
144,Basic Materials,FF
145,Basic Materials,FM.TO
146,Basic Materials,FMC
147,Basic Materials,FNV.TO
148,Basic Materials,FNV
149,Basic Materials,FOE
150,Basic Materials,FR.TO
151,Basic Materials,FRD
152,Basic Materials,FSI
153,Basic Materials,FSM
154,Basic Materials,FSY.TO
155,Basic Materials,FT.TO
156,Basic Materials,FUL
157,Basic Materials,FVI.TO
158,Basic Materials,FVL.TO
159,Basic Materials,GAU
160,Basic Materials,GCM.TO
161,Basic Materials,GCP
162,Basic Materials,GDL.TO
163,Basic Materials,GEO.TO
164,Basic Materials,GEVO
165,Basic Materials,GFI
166,Basic Materials,GGA.TO
167,Basic Materials,GGB
168,Basic Materials,GGD.TO
169,Basic Materials,GLT
170,Basic Materials,GMO.TO
171,Basic Materials,GMO
172,Basic Materials,GMX.TO
173,Basic Materials,GOLD
174,Basic Materials,GORO
175,Basic Materials,GPL
176,Basic Materials,GPR.TO
177,Basic Materials,GPRE
178,Basic Materials,GRA
179,Basic Materials,GRVO.PA
180,Basic Materials,GSC.TO
181,Basic Materials,GSM
182,Basic Materials,GSS
183,Basic Materials,GSV
184,Basic Materials,GURE
185,Basic Materials,GUY.TO
186,Basic Materials,HBM.TO
187,Basic Materials,HBM
188,Basic Materials,HCC
189,Basic Materials,HDSN
190,Basic Materials,HHT
191,Basic Materials,HL
192,Basic Materials,HMY
193,Basic Materials,HOLCO.AS
194,Basic Materials,HRT.TO
195,Basic Materials,HUN
196,Basic Materials,HWKN
197,Basic Materials,HYMC
198,Basic Materials,HZM.TO
199,Basic Materials,IAG
200,Basic Materials,ICL
201,Basic Materials,IFF.PA
202,Basic Materials,IFF
203,Basic Materials,IFP.TO
204,Basic Materials,III.TO
205,Basic Materials,IKNX
206,Basic Materials,IMCD.AS
207,Basic Materials,IMG.TO
208,Basic Materials,INA.LS
209,Basic Materials,INV.TO
210,Basic Materials,IOSP
211,Basic Materials,IPHS
212,Basic Materials,IPI
213,Basic Materials,ITH.TO
214,Basic Materials,ITP
215,Basic Materials,IVN.TO
216,Basic Materials,JAG.TO
217,Basic Materials,JCQ.PA
218,Basic Materials,JCTCF
219,Basic Materials,JHX
220,Basic Materials,K.TO
221,Basic Materials,KALU
222,Basic Materials,KER.TO
223,Basic Materials,KGC
224,Basic Materials,KLDX
225,Basic Materials,KL
226,Basic Materials,KMG
227,Basic Materials,KOP
228,Basic Materials,KOR.TO
229,Basic Materials,KRA
230,Basic Materials,KRN.TO
231,Basic Materials,KRO
232,Basic Materials,KS
233,Basic Materials,KWR
234,Basic Materials,LAC.TO
235,Basic Materials,LAC
236,Basic Materials,LAM.TO
237,Basic Materials,LGO.TO
238,Basic Materials,LHN.PA
239,Basic Materials,LIF.TO
240,Basic Materials,LIN
241,Basic Materials,LN.TO
242,Basic Materials,LOMA
243,Basic Materials,LOOP
244,Basic Materials,LTHM
245,Basic Materials,LUC.TO
246,Basic Materials,LUG.TO
247,Basic Materials,LUN.TO
248,Basic Materials,LXU
249,Basic Materials,LYB
250,Basic Materials,MAG.TO
251,Basic Materials,MAG
252,Basic Materials,MAW.TO
253,Basic Materials,MAX.TO
254,Basic Materials,MBII
255,Basic Materials,MDI.TO
256,Basic Materials,MDU
257,Basic Materials,ME.TO
258,Basic Materials,MEOH
259,Basic Materials,MERC
260,Basic Materials,METC
261,Basic Materials,METEX.PA
262,Basic Materials,MKD
263,Basic Materials,MLBAT.PA
264,Basic Materials,MLDYN.PA
265,Basic Materials,MLM
266,Basic Materials,MLOLM.PA
267,Basic Materials,MLPFX.PA
268,Basic Materials,MLZAM.PA
269,Basic Materials,MMX
270,Basic Materials,MND.TO
271,Basic Materials,MON
272,Basic Materials,MOS
273,Basic Materials,MOZ.TO
274,Basic Materials,MPVDF
275,Basic Materials,MSV.TO
276,Basic Materials,MT.AS
277,Basic Materials,MTA
278,Basic Materials,MTL
279,Basic Materials,MTRN
280,Basic Materials,MTX
281,Basic Materials,MT
282,Basic Materials,MUX.TO
283,Basic Materials,MUX
284,Basic Materials,MX.TO
285,Basic Materials,NAK
286,Basic Materials,NB.TO
287,Basic Materials,NCF.TO
288,Basic Materials,NCU.TO
289,Basic Materials,NDM.TO
290,Basic Materials,NEM
291,Basic Materials,NEU
292,Basic Materials,NEXA
293,Basic Materials,NG.TO
294,Basic Materials,NGD.TO
295,Basic Materials,NGD
296,Basic Materials,NGVT
297,Basic Materials,NG
298,Basic Materials,NK.PA
299,Basic Materials,NML.TO
300,Basic Materials,NPK.TO
