,index,Unnamed: 0,date,symbol,filing_date,accepted_date,period,revenue_sales,cost_of_sales_cost_of_revenue_cost_of_goods_sold,gross_profit_gross_income,gross_income_ratio_gross_profit_ratio,research_and_development_expenses,general_and_administrative_expenses,s_and_m_selling_and_marketing_expenses,other_expenses,operating_expenses,cost_and_expenses,interest_expense,depreciation_and_amortization,ebitda,ebitda_ratio,operating_income,operating_income_ratio,other_income_other_expenses_net,income_before_tax_provisions,income_before_tax_ratio,income_tax_expense_provisions,net_income,net_income_ratio,eps_earnings_per_share,eps_earnings_per_share_diluted,shares_outstanding,shares_outstanding_weighted_diluted,sec_filing_url,sec_statement_url,pct_chg_temp
0,0,0.0,2020-12-31,AAPL,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0
1,0,0.0,2020-09-30,AAPL,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0
2,0,0.0,2020-06-30,AAPL,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0
3,0,0.0,2020-03-31,AAPL,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,200750000.0,9667000000.0,52056750000.0,0.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,200750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0368840919755984
4,1,0.0,2019-12-31,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,0.078659,15982500000.0,0.06143,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.05309525,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,1.0
5,1,0.0,2019-09-30,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,0.078659,15982500000.0,0.06143,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.05309525,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,1.0
6,1,0.0,2019-06-30,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,0.078659,15982500000.0,0.06143,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.05309525,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,1.0
7,1,0.0,2019-03-31,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945445,4054250000.0,4561250000.0,0.0,451750000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,20465000000.0,0.078659,15982500000.0,0.06143,105500000.0,16434250000.0,0.0631665,2620250000.0,13814000000.0,0.05309525,0.7428625,0.7428625,4648913000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,0.901717961014415
8,2,0.0,2018-12-31,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,1.0
9,2,0.0,2018-09-30,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,1.0
10,2,0.0,2018-06-30,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,1.0
11,2,0.0,2018-03-31,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,501250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,-110250000.0,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,1.155744653103808
