,Cash and Cash Equivalents,Short Term Investments,Cash And Short-Term Investments,Accounts Receivables,Inventory,Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Long-term Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payables,Short-term Debt,Income Tax Payables,Deferred Revenue,Other Current Liabilities,Total Current Liabilities,Long-term Debt,Deferred Revenue Non-Current,Deferred Tax Liabilities Non-Current,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Total Liabilities,Common Stock,Retained Earnings,Accumulated Other Comprehensive Income Loss,Other Shareholders Equity,Total Shareholders Equity,Total Liabilities & Stockholders Equity,Total Investments,Total Debt,Net Debt,Year,QQ-YYYY
95,5072250000.0,13473000000.0,18545250000.0,8918250000.0,1213750000.0,3484000000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,2540500000.0,61668500000.0,3484000000.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,0.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,2227750000.0,35114500000.0,0.0,60318000000.0,8966750000.0,24582500000.0,-10323250000.0,0.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,2017,FY-2017
94,5072250000.0,13473000000.0,18545250000.0,8918250000.0,1213750000.0,3484000000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,2540500000.0,61668500000.0,3484000000.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,0.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,2227750000.0,35114500000.0,0.0,60318000000.0,8966750000.0,24582500000.0,-10323250000.0,0.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,2017,FY-2017
93,5072250000.0,13473000000.0,18545250000.0,8918250000.0,1213750000.0,3484000000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,2540500000.0,61668500000.0,3484000000.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,0.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,2227750000.0,35114500000.0,0.0,60318000000.0,8966750000.0,24582500000.0,-10323250000.0,0.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,2017,FY-2017
92,5072250000.0,13473000000.0,18545250000.0,8918250000.0,1213750000.0,3484000000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,2540500000.0,61668500000.0,3484000000.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,0.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,2227750000.0,35114500000.0,0.0,60318000000.0,8966750000.0,24582500000.0,-10323250000.0,0.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,2017,FY-2017
91,5121000000.0,11667750000.0,16788750000.0,7324750000.0,533000000.0,2070750000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,2189250000.0,53704250000.0,4260000000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,2289000000.0,19751500000.0,18856750000.0,732500000.0,0.0,3246250000.0,28607750000.0,3246250000.0,48359250000.0,7812750000.0,24091000000.0,158500000.0,-135000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,2016,FY-2016
90,5121000000.0,11667750000.0,16788750000.0,7324750000.0,533000000.0,2070750000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,2189250000.0,53704250000.0,4260000000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,2289000000.0,19751500000.0,18856750000.0,732500000.0,0.0,3246250000.0,28607750000.0,3246250000.0,48359250000.0,7812750000.0,24091000000.0,158500000.0,-135000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,2016,FY-2016
89,5121000000.0,11667750000.0,16788750000.0,7324750000.0,533000000.0,2070750000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,2189250000.0,53704250000.0,4260000000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,2289000000.0,19751500000.0,18856750000.0,732500000.0,0.0,3246250000.0,28607750000.0,3246250000.0,48359250000.0,7812750000.0,24091000000.0,158500000.0,-135000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,2016,FY-2016
88,5121000000.0,11667750000.0,16788750000.0,7324750000.0,533000000.0,2070750000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,2189250000.0,53704250000.0,4260000000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,2289000000.0,19751500000.0,18856750000.0,732500000.0,0.0,3246250000.0,28607750000.0,3246250000.0,48359250000.0,7812750000.0,24091000000.0,158500000.0,-135000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,2016,FY-2016
87,5280000000.0,5120250000.0,10400250000.0,7585750000.0,587250000.0,3771250000.0,22344500000.0,5617750000.0,1279000000.0,973250000.0,2252250000.0,41016250000.0,6015500000.0,1355500000.0,50241750000.0,5126750000.0,72586250000.0,8872500000.0,2124750000.0,0.0,2235000000.0,2488000000.0,20152500000.0,13332250000.0,906000000.0,,3247250000.0,22595000000.0,3247250000.0,42747500000.0,6854000000.0,23071000000.0,-86250000.0,77000000.0,29838750000.0,72586250000.0,46136500000.0,16082000000.0,10802000000.0,2015,FY-2015
86,5280000000.0,5120250000.0,10400250000.0,7585750000.0,587250000.0,3771250000.0,22344500000.0,5617750000.0,1279000000.0,973250000.0,2252250000.0,41016250000.0,6015500000.0,1355500000.0,50241750000.0,5126750000.0,72586250000.0,8872500000.0,2124750000.0,0.0,2235000000.0,2488000000.0,20152500000.0,13332250000.0,906000000.0,,3247250000.0,22595000000.0,3247250000.0,42747500000.0,6854000000.0,23071000000.0,-86250000.0,77000000.0,29838750000.0,72586250000.0,46136500000.0,16082000000.0,10802000000.0,2015,FY-2015
85,5280000000.0,5120250000.0,10400250000.0,7585750000.0,587250000.0,3771250000.0,22344500000.0,5617750000.0,1279000000.0,973250000.0,2252250000.0,41016250000.0,6015500000.0,1355500000.0,50241750000.0,5126750000.0,72586250000.0,8872500000.0,2124750000.0,0.0,2235000000.0,2488000000.0,20152500000.0,13332250000.0,906000000.0,,3247250000.0,22595000000.0,3247250000.0,42747500000.0,6854000000.0,23071000000.0,-86250000.0,77000000.0,29838750000.0,72586250000.0,46136500000.0,16082000000.0,10802000000.0,2015,FY-2015
84,5280000000.0,5120250000.0,10400250000.0,7585750000.0,587250000.0,3771250000.0,22344500000.0,5617750000.0,1279000000.0,973250000.0,2252250000.0,41016250000.0,6015500000.0,1355500000.0,50241750000.0,5126750000.0,72586250000.0,8872500000.0,2124750000.0,0.0,2235000000.0,2488000000.0,20152500000.0,13332250000.0,906000000.0,,3247250000.0,22595000000.0,3247250000.0,42747500000.0,6854000000.0,23071000000.0,-86250000.0,77000000.0,29838750000.0,72586250000.0,46136500000.0,16082000000.0,10802000000.0,2015,FY-2015
83,3461000000.0,2808250000.0,6269250000.0,6804750000.0,527750000.0,3531000000.0,17132750000.0,5156000000.0,1154000000.0,1035500000.0,2189500000.0,32540500000.0,5064750000.0,941000000.0,40827000000.0,4472000000.0,57959750000.0,7549000000.0,1577000000.0,0.0,2122750000.0,4813750000.0,15862000000.0,7246750000.0,757750000.0,1079500000.0,1899500000.0,14211000000.0,1899500000.0,30073000000.0,5828250000.0,21788000000.0,270500000.0,331000000.0,27886750000.0,57959750000.0,35348750000.0,8823750000.0,5362750000.0,2014,FY-2014
82,3461000000.0,2808250000.0,6269250000.0,6804750000.0,527750000.0,3531000000.0,17132750000.0,5156000000.0,1154000000.0,1035500000.0,2189500000.0,32540500000.0,5064750000.0,941000000.0,40827000000.0,4472000000.0,57959750000.0,7549000000.0,1577000000.0,0.0,2122750000.0,4813750000.0,15862000000.0,7246750000.0,757750000.0,1079500000.0,1899500000.0,14211000000.0,1899500000.0,30073000000.0,5828250000.0,21788000000.0,270500000.0,331000000.0,27886750000.0,57959750000.0,35348750000.0,8823750000.0,5362750000.0,2014,FY-2014
81,3461000000.0,2808250000.0,6269250000.0,6804750000.0,527750000.0,3531000000.0,17132750000.0,5156000000.0,1154000000.0,1035500000.0,2189500000.0,32540500000.0,5064750000.0,941000000.0,40827000000.0,4472000000.0,57959750000.0,7549000000.0,1577000000.0,0.0,2122750000.0,4813750000.0,15862000000.0,7246750000.0,757750000.0,1079500000.0,1899500000.0,14211000000.0,1899500000.0,30073000000.0,5828250000.0,21788000000.0,270500000.0,331000000.0,27886750000.0,57959750000.0,35348750000.0,8823750000.0,5362750000.0,2014,FY-2014
80,3461000000.0,2808250000.0,6269250000.0,6804750000.0,527750000.0,3531000000.0,17132750000.0,5156000000.0,1154000000.0,1035500000.0,2189500000.0,32540500000.0,5064750000.0,941000000.0,40827000000.0,4472000000.0,57959750000.0,7549000000.0,1577000000.0,0.0,2122750000.0,4813750000.0,15862000000.0,7246750000.0,757750000.0,1079500000.0,1899500000.0,14211000000.0,1899500000.0,30073000000.0,5828250000.0,21788000000.0,270500000.0,331000000.0,27886750000.0,57959750000.0,35348750000.0,8823750000.0,5362750000.0,2014,FY-2014
79,3564750000.0,6571750000.0,10136500000.0,5160250000.0,441000000.0,2583750000.0,18321500000.0,4149250000.0,394250000.0,1044750000.0,1439000000.0,26553750000.0,4122250000.0,1286500000.0,33428500000.0,3870250000.0,51750000000.0,5591750000.0,0.0,0.0,1858750000.0,4127250000.0,10914500000.0,4240000000.0,656250000.0,863250000.0,1586000000.0,9948250000.0,1586000000.0,20862750000.0,4941000000.0,26064000000.0,-117750000.0,-91500000.0,30887250000.0,51750000000.0,33125500000.0,4240000000.0,675250000.0,2013,FY-2013
78,3564750000.0,6571750000.0,10136500000.0,5160250000.0,441000000.0,2583750000.0,18321500000.0,4149250000.0,394250000.0,1044750000.0,1439000000.0,26553750000.0,4122250000.0,1286500000.0,33428500000.0,3870250000.0,51750000000.0,5591750000.0,0.0,0.0,1858750000.0,4127250000.0,10914500000.0,4240000000.0,656250000.0,863250000.0,1586000000.0,9948250000.0,1586000000.0,20862750000.0,4941000000.0,26064000000.0,-117750000.0,-91500000.0,30887250000.0,51750000000.0,33125500000.0,4240000000.0,675250000.0,2013,FY-2013
77,3564750000.0,6571750000.0,10136500000.0,5160250000.0,441000000.0,2583750000.0,18321500000.0,4149250000.0,394250000.0,1044750000.0,1439000000.0,26553750000.0,4122250000.0,1286500000.0,33428500000.0,3870250000.0,51750000000.0,5591750000.0,0.0,0.0,1858750000.0,4127250000.0,10914500000.0,4240000000.0,656250000.0,863250000.0,1586000000.0,9948250000.0,1586000000.0,20862750000.0,4941000000.0,26064000000.0,-117750000.0,-91500000.0,30887250000.0,51750000000.0,33125500000.0,4240000000.0,675250000.0,2013,FY-2013
76,3564750000.0,6571750000.0,10136500000.0,5160250000.0,441000000.0,2583750000.0,18321500000.0,4149250000.0,394250000.0,1044750000.0,1439000000.0,26553750000.0,4122250000.0,1286500000.0,33428500000.0,3870250000.0,51750000000.0,5591750000.0,0.0,0.0,1858750000.0,4127250000.0,10914500000.0,4240000000.0,656250000.0,863250000.0,1586000000.0,9948250000.0,1586000000.0,20862750000.0,4941000000.0,26064000000.0,-117750000.0,-91500000.0,30887250000.0,51750000000.0,33125500000.0,4240000000.0,675250000.0,2013,FY-2013
75,2686500000.0,4595750000.0,7282250000.0,4673000000.0,197750000.0,2260250000.0,14413250000.0,3863000000.0,283750000.0,1056000000.0,1339750000.0,23030500000.0,3461750000.0,1369500000.0,29602750000.0,3629750000.0,44016000000.0,5293750000.0,0.0,0.0,1488250000.0,3521000000.0,9635500000.0,0.0,662000000.0,645750000.0,1366250000.0,4828000000.0,1366250000.0,14463500000.0,4105500000.0,25322250000.0,124750000.0,122750000.0,29552500000.0,44016000000.0,27626250000.0,0.0,-2686500000.0,2012,FY-2012
74,2686500000.0,4595750000.0,7282250000.0,4673000000.0,197750000.0,2260250000.0,14413250000.0,3863000000.0,283750000.0,1056000000.0,1339750000.0,23030500000.0,3461750000.0,1369500000.0,29602750000.0,3629750000.0,44016000000.0,5293750000.0,0.0,0.0,1488250000.0,3521000000.0,9635500000.0,0.0,662000000.0,645750000.0,1366250000.0,4828000000.0,1366250000.0,14463500000.0,4105500000.0,25322250000.0,124750000.0,122750000.0,29552500000.0,44016000000.0,27626250000.0,0.0,-2686500000.0,2012,FY-2012
