,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
103,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,2019,FY-2019
102,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,2019,FY-2019
101,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,2019,FY-2019
100,28906750000.0,0.0,28906750000.0,0.25,0.0,17770500000.0,0.0,24469250000.0,10994000000.0,6698750000.0,2092000000.0,19927000000.0,11136250000.0,11136250000.0,0.09631184757875,2028500000.0,9107750000.0,2.8193875,2.8193875,807600000.0,807600000.0,2019,FY-2019
99,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,2018,FY-2018
98,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,2018,FY-2018
97,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,2018,FY-2018
96,27257250000.0,5260250000.0,27257250000.0,0.25,0.0,17066250000.0,0.0,22326500000.0,10479750000.0,5260250000.0,1947750000.0,17399000000.0,10191000000.0,10191000000.0,0.09347054453400001,2072500000.0,8118500000.0,2.3780025,2.3780025,853500000.0,853500000.0,2018,FY-2018
95,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,2017,FY-2017
94,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,2017,FY-2017
