,df_json
0,"[985996800000.0, 110285714.28571428]"
1,"[993859200000.0, 97035714.28571428]"
2,"[1001721600000.0, 82160714.28571428]"
3,"[1009584000000.0, 75660714.28571428]"
4,"[1017446400000.0, 64625000.0]"
5,"[1025308800000.0, 57125000.0]"
6,"[1033171200000.0, 47125000.0]"
7,"[1041033600000.0, 34375000.0]"
8,"[1048896000000.0, 21875000.0]"
9,"[1056758400000.0, 22375000.0]"
10,"[1064620800000.0, 22625000.0]"
11,"[1072483200000.0, 23000000.0]"
12,"[1080345600000.0, 23250000.0]"
13,"[1088208000000.0, 25750000.0]"
14,"[1096070400000.0, 28000000.0]"
15,"[1103932800000.0, 43250000.0]"
16,"[1111795200000.0, 59500000.0]"
17,"[1119657600000.0, 85375000.0]"
18,"[1127520000000.0, 111375000.0]"
19,"[1135987200000.0, 155750000.0]"
20,"[1143849600000.0, 201250000.0]"
21,"[1151712000000.0, 242250000.0]"
22,"[1159574400000.0, 281750000.0]"
23,"[1167436800000.0, 308375000.0]"
24,"[1175299200000.0, 335000000.0]"
25,"[1183161600000.0, 350750000.0]"
26,"[1191024000000.0, 367375000.0]"
27,"[1198886400000.0, 363750000.0]"
28,"[1206748800000.0, 357000000.0]"
29,"[1214611200000.0, 353750000.0]"
30,"[1222473600000.0, 349375000.0]"
31,"[1230336000000.0, 348125000.0]"
32,"[1238198400000.0, 368500000.0]"
33,"[1246060800000.0, 386125000.0]"
34,"[1253923200000.0, 486000000.0]"
35,"[1261785600000.0, 883875000.0]"
36,"[1269648000000.0, 1276125000.0]"
37,"[1277510400000.0, 1683750000.0]"
38,"[1285372800000.0, 2185125000.0]"
39,"[1293235200000.0, 2670375000.0]"
40,"[1301097600000.0, 3162875000.0]"
41,"[1308960000000.0, 3616500000.0]"
42,"[1316822400000.0, 4014500000.0]"
43,"[1325289600000.0, 4094875000.0]"
44,"[1333152000000.0, 4174000000.0]"
45,"[1341014400000.0, 4214500000.0]"
46,"[1348876800000.0, 4144250000.0]"
47,"[1356739200000.0, 4134000000.0]"
48,"[1364601600000.0, 4122500000.0]"
49,"[1372464000000.0, 4113125000.0]"
50,"[1380326400000.0, 4041375000.0]"
51,"[1388188800000.0, 4005625000.0]"
52,"[1396051200000.0, 3983000000.0]"
53,"[1403913600000.0, 3972375000.0]"
54,"[1411776000000.0, 3939750000.0]"
55,"[1419638400000.0, 3822749999.9999995]"
56,"[1427500800000.0, 3632499999.9999995]"
57,"[1435363200000.0, 3451999999.9999995]"
58,"[1443225600000.0, 3285124999.9999995]"
59,"[1451088000000.0, 3085749999.9999995]"
60,"[1458950400000.0, 2863874999.9999995]"
61,"[1466812800000.0, 2670624999.9999995]"
62,"[1474675200000.0, 2510312499.9999995]"
63,"[1483142400000.0, 2378187499.9999995]"
64,"[1491004800000.0, 2311071428.5714283]"
65,"[1498867200000.0, 2266456845.238095]"
66,"[1506729600000.0, 2238869345.238095]"
67,"[1514592000000.0, 2227197470.238095]"
68,"[1522454400000.0, 2236468303.5714283]"
69,"[1530316800000.0, 2222624553.5714283]"
70,"[1538179200000.0, 2213312053.5714283]"
71,"[1546041600000.0, 2222499489.7959185]"
72,"[1553904000000.0, 2207737500.0]"
73,"[1561766400000.0, 2197268333.333333]"
74,"[1569628800000.0, 2190760416.6666665]"
75,"[1577491200000.0, 2186138888.888889]"
76,"[1585353600000.0, 2167625000.0]"
77,"[1593216000000.0, 2149000000.0]"
78,"[1601078400000.0, 0.0]"
