,index,Unnamed: 0,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,Year,QQ-YYYY
0,0,0.0,2020-12-31,AAPL,10/30/2020,10/29/2020 18:06,FY,14352750000.0,2764000000.0,-53750000.0,1707250000.0,-4695000000.0,1729250000.0,-31750000.0,-1015500000.0,9580250000.0,0.0,20168500000.0,-1827250000.0,-381000000.0,-28750000000.0,0.0,0.0,-1072250000.0,-3157250000.0,220000000.0,-18089500000.0,-3520250000.0,0.0,-21705000000.0,0.0,-2608750000.0,9947250000.0,12556000000.0,20168500000.0,1827250000.0,18341250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
1,0,0.0,2020-09-30,AAPL,10/30/2020,10/29/2020 18:06,FY,14352750000.0,2764000000.0,-53750000.0,1707250000.0,-4695000000.0,1729250000.0,-31750000.0,-1015500000.0,9580250000.0,0.0,20168500000.0,-1827250000.0,-381000000.0,-28750000000.0,0.0,0.0,-1072250000.0,-3157250000.0,220000000.0,-18089500000.0,-3520250000.0,0.0,-21705000000.0,0.0,-2608750000.0,9947250000.0,12556000000.0,20168500000.0,1827250000.0,18341250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
2,0,0.0,2020-06-30,AAPL,10/30/2020,10/29/2020 18:06,FY,14352750000.0,2764000000.0,-53750000.0,1707250000.0,-4695000000.0,1729250000.0,-31750000.0,-1015500000.0,9580250000.0,0.0,20168500000.0,-1827250000.0,-381000000.0,-28750000000.0,0.0,0.0,-1072250000.0,-3157250000.0,220000000.0,-18089500000.0,-3520250000.0,0.0,-21705000000.0,0.0,-2608750000.0,9947250000.0,12556000000.0,20168500000.0,1827250000.0,18341250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
3,0,0.0,2020-03-31,AAPL,10/30/2020,10/29/2020 18:06,FY,14352750000.0,2764000000.0,-53750000.0,1707250000.0,-4695000000.0,1729250000.0,-31750000.0,-1015500000.0,9580250000.0,0.0,20168500000.0,-1827250000.0,-381000000.0,-28750000000.0,0.0,0.0,-1072250000.0,-3157250000.0,220000000.0,-18089500000.0,-3520250000.0,0.0,-21705000000.0,0.0,-2608750000.0,9947250000.0,12556000000.0,20168500000.0,1827250000.0,18341250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020,FY-2020
4,1,0.0,2019-12-31,AAPL,10/31/2019 0:00,10/30/2019 18:12,FY,13814000000.0,3136750000.0,-85000000.0,1517000000.0,10422750000.0,61250000.0,-72250000.0,-480750000.0,14275250000.0,1354000000.0,17347750000.0,-2623750000.0,-156000000.0,-27000000000.0,24681000000.0,16454750000.0,11474000000.0,-2201250000.0,195250000.0,-16529000000.0,-3529750000.0,-484000000.0,-22744000000.0,0.0,6077750000.0,12556000000.0,6478250000.0,17347750000.0,-2623750000.0,14724000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
5,1,0.0,2019-09-30,AAPL,10/31/2019 0:00,10/30/2019 18:12,FY,13814000000.0,3136750000.0,-85000000.0,1517000000.0,10422750000.0,61250000.0,-72250000.0,-480750000.0,14275250000.0,1354000000.0,17347750000.0,-2623750000.0,-156000000.0,-27000000000.0,24681000000.0,16454750000.0,11474000000.0,-2201250000.0,195250000.0,-16529000000.0,-3529750000.0,-484000000.0,-22744000000.0,0.0,6077750000.0,12556000000.0,6478250000.0,17347750000.0,-2623750000.0,14724000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
6,1,0.0,2019-06-30,AAPL,10/31/2019 0:00,10/30/2019 18:12,FY,13814000000.0,3136750000.0,-85000000.0,1517000000.0,10422750000.0,61250000.0,-72250000.0,-480750000.0,14275250000.0,1354000000.0,17347750000.0,-2623750000.0,-156000000.0,-27000000000.0,24681000000.0,16454750000.0,11474000000.0,-2201250000.0,195250000.0,-16529000000.0,-3529750000.0,-484000000.0,-22744000000.0,0.0,6077750000.0,12556000000.0,6478250000.0,17347750000.0,-2623750000.0,14724000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
7,1,0.0,2019-03-31,AAPL,10/31/2019 0:00,10/30/2019 18:12,FY,13814000000.0,3136750000.0,-85000000.0,1517000000.0,10422750000.0,61250000.0,-72250000.0,-480750000.0,14275250000.0,1354000000.0,17347750000.0,-2623750000.0,-156000000.0,-27000000000.0,24681000000.0,16454750000.0,11474000000.0,-2201250000.0,195250000.0,-16529000000.0,-3529750000.0,-484000000.0,-22744000000.0,0.0,6077750000.0,12556000000.0,6478250000.0,17347750000.0,-2623750000.0,14724000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019,FY-2019
8,2,0.0,2018-12-31,AAPL,11/5/2018 0:00,11/5/2018 8:01,FY,14882750000.0,2725750000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,207000000.0,2293750000.0,3852500000.0,1224000000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,12118750000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,1101250000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
9,2,0.0,2018-09-30,AAPL,11/5/2018 0:00,11/5/2018 8:01,FY,14882750000.0,2725750000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,207000000.0,2293750000.0,3852500000.0,1224000000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,12118750000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,1101250000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
