Quarter & Year,index,date,filing_date,accepted_date,net_revenue,cost_of_sales,gross_profit_margin_non,gross_profit_margin_ratio,r_n_d,g_n_a,s_n_m,other_income,total_opex,cost_expenses,interest_expense,d_n_a,ebitda_non,ebitda_margin,operating_income,operating_margin,total_other_income,pretax_income_non,pretax_income_margin,income_tax_expense,net_income,profit_margin,eps_non,eps_diluted,shares_outstanding_non,shares_outstanding_diluted,sec_filing_link,sec_statement_link,cash_non,short_term_investments,cash_n_short_term_investments,inventory,other_current_assets,total_current_assets,pp_n_e,goodwill,intangible_assets,goodwill_n_intangible_assets,long_term_investments,tax_assets,other_assets,total_assets,accounts_payable,short_term_debt,income_tax_payables,deferred_revenue,other_current_liabilities,total_current_liabilities,long_term_debt,deferred_revenue_non_current,deferred_tax_liabilities_non_current,other_non_current_liabilities,total_non_current_liabilities,other_liabilities,total_liabilities,common_stock,retained_earnings,accumulated_other_comprehensive_income,other_se,total_se,total_l_se,total_investments,total_debt,net_debt,deferred_income_tax,sbc,change_in_working_capital,accounts_receivable,other_working_capital,other_non_cash_items,net_cash_by_operating_activities,investments_in_pp_n_e,acquisitions_net,purchase_of_investments,sales_maturities_of_investments,other_investing_activities,net_cash_used_for_investing_activities,debt_repayment,common_stock_issued,common_stock_repurchased,dividends_paid,other_financing_activities,net_cash_used_provided_by_financing_activities,effect_of_fx_rate_changes_on_cash,net_change_in_cash,cash_at_end_of_period,cash_at_beginning_of_period,operating_cash_flow,capex,free_cash_flow,QQ-YYYY,Year,ffo_math,book_value_math,ebit_math,working_capital_math,quick_assets_math,quick_ratio_math,current_ratio,repeater,Quarter & Year,Price,quarter avg
Q3-2010,0,1285804800000,2010-11-10 00:00:00,2010-11-10 08:11:38,34060000000,29587000000,4473000000,0.131327,0.0,2740000000,0.0,30000000.0,2740000000,32327000000,263000000,0.0,2400000000,0.070464,1733000000,0.050881,0.0,1847000000,0.054228,-25000000,2162000000,0.063476,1.32638,1.32638,1630000000,1630000000,https://www.sec.gov/Archives/edgar/data/1467858/000119312510255233/0001193125-10-255233-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000119312510255233/d10q.htm,27466000000,6010000000,33476000000,13044000000,6339000000,61584000000,19116000000.0,30556000000.0,12454000000.0,43010000000,8691000000,0.0,11176000000,137238000000,22137000000,5621000000.0,0.0,2074000000.0,0.0,52569000000,2945000000.0,0.0,0.0,51008000000,54924000000,51008000000.0,107493000000,15000000.0,-236000000,-2146000000,-1073000000,29745000000,137238000000,14701000000,8566000000,-18900000000,0.0,0.0,1555000000,0.0,9015000000,0.0,2624000000,0.0,0.0,0.0,0.0,0.0,-2264000000,0.0,0.0,0.0,-203000000.0,0.0,-158000000,491000000.0,693000000,27466000000,26773000000,2624000000,-1261000000.0,1363000000,Q3-2010,2010,2162000000.0,29745000000,2400000000.0,9015000000,33476000000.0,0.9233578725104149,1.1714889003024596,1.099897780909519,Q3-2010,26.1632,1.1598302943921974
Q3-2011,0,1317340800000,2011-11-09 00:00:00,2011-11-09 08:54:48,36719000000,31946000000,4773000000,0.129987,0.0,2967000000,0.0,8835000000.0,3002000000,34948000000,101000000,0.0,2315000000,0.063046,1771000000,0.048231,0.0,1822000000,0.04962,107000000,2107000000,0.057382,1.25268,1.25268,1682000000,1682000000,https://www.sec.gov/Archives/edgar/data/1467858/000119312511303419/0001193125-11-303419-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000119312511303419/d235880d10q.htm,20297000000,11680000000,31977000000,15220000000,6301000000,64010000000,21556000000.0,29883000000.0,10498000000.0,40381000000,7534000000,0.0,12399000000,148497000000,25646000000,1543000000.0,0.0,2834000000.0,0.0,51748000000,10122000000.0,0.0,0.0,41011000000,52005000000,41011000000.0,103753000000,16000000.0,6595000000,2824000000,1412000000,44744000000,148497000000,19214000000,11665000000,-8632000000,0.0,0.0,126000000,-1342000000.0,12262000000,0.0,2037000000,-1571000000.0,-17000000.0,0.0,0.0,271000000.0,-1317000000,-463000000.0,0.0,0.0,-214000000.0,-73000000.0,-576000000,-537000000.0,-393000000,20078000000,20471000000,2037000000,-1741000000.0,296000000,Q3-2011,2011,519000000.0,44744000000,2315000000.0,12262000000,30635000000.0,0.942838370565046,1.2369560176238694,0.9357313696431342,Q3-2011,19.7754,1.1875045272383884
Q3-2012,0,1348963200000,2012-10-31 00:00:00,2012-10-31 13:45:12,37576000000,33046000000,4530000000,0.120556,0.0,2849000000,0.0,2815000000.0,2927000000,35973000000,128000000,0.0,2318000000,0.061688,1603000000,0.042660000000000003,0.0,1793000000,0.047717,357000000,1833000000,0.048781,1.10222,1.10222,1663000000,1663000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785812000060/0001467858-12-000060-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785812000060/gm2012q3.htm,23320000000,10411000000,33731000000,15672000000,5945000000,72107000000,28099000000.0,28408000000.0,8904000000.0,37312000000,7519000000,0.0,9509000000,155456000000,26313000000,2277000000.0,0.0,2110000000.0,0.0,57623000000,10375000000.0,0.0,0.0,44829000000,56174000000,44829000000.0,113797000000,16000000.0,11533000000,-13448000000,-6724000000,41659000000,155456000000,17930000000,16653000000,-6667000000,0.0,0.0,902000000,-2067000000.0,14484000000,0.0,3383000000,-1945000000.0,-88000000.0,0.0,0.0,-1440000000.0,-3456000000,-1125000000.0,-3000000.0,0.0,-220000000.0,4100000000.0,1157000000,52000000.0,1136000000,23320000000,22184000000,3383000000,-2172000000.0,1211000000,Q3-2012,2012,-200000000.0,41659000000,2318000000.0,14484000000,31664000000.0,0.9793832323898444,1.2513579647015949,0.8866081215681576,Q3-2012,19.5076,1.217453607557868
Q3-2013,0,1380499200000,2013-10-30 00:00:00,2013-10-30 14:12:53,38983000000,33791000000,5192000000,0.133186,0.0,2876000000,0.0,625000000.0,2934000000,36725000000,65000000,0.0,2624000000,0.067311,2258000000,0.057923,0.0,2547000000,0.065336,842000000,1717000000,0.044045,1.02142,1.02142,1681000000,1681000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000135/0001467858-13-000135-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000135/gm2013q3.htm,20355000000,8215000000,28570000000,15357000000,15160000000,81164000000,29347000000.0,1953000000.0,6364000000.0,8317000000,7897000000,0.0,44752000000,168539000000,27242000000,1786000000.0,0.0,9868000000.0,0.0,62563000000,20684000000.0,0.0,26020000000.0,47931000000,69198000000,47931000000.0,131761000000,14000000.0,12903000000,-15962000000,-7981000000,36778000000,168539000000,16112000000,32123000000,11768000000,0.0,0.0,877000000,-7988000000.0,18601000000,0.0,3860000000,-1947000000.0,0.0,0.0,0.0,-2721000000.0,-4788000000,-4610000000.0,0.0,-2438000000.0,-1045000000.0,7779000000.0,1466000000,120000000.0,658000000,20355000000,19697000000,3860000000,-2554000000.0,1306000000,Q3-2013,2013,-230000000.0,36778000000,2624000000.0,18601000000,20582000000.0,1.0518517334526798,1.2973163051643943,0.9019883112119995,Q3-2013,28.2669,1.263353539622745
Q3-2014,0,1412035200000,2014-10-23 00:00:00,2014-10-23 14:51:37,39255000000,35107000000,4148000000,0.10566800000000001,0.0,2921000000,0.0,1053000000.0,2919000000,38026000000,96000000,0.0,1994000000,0.050796,1229000000,0.031307999999999996,0.0,1869000000,0.047612,427000000,1471000000,0.037473,0.8699,0.8699,1691000000,1691000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785814000247/0001467858-14-000247-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785814000247/gm2014q3.htm,18060000000,9570000000,27630000000,15210000000,17248000000,86640000000,33171000000.0,1559000000.0,5085000000.0,6644000000,7983000000,0.0,44114000000,176908000000,24773000000,0.0,0.0,9978000000.0,0.0,67329000000,27719000000.0,0.0,23574000000.0,38297000000,66577000000,38297000000.0,133906000000,16000000.0,13975000000,-5860000000,-2930000000,43002000000,176908000000,17553000000,41105000000,23045000000,0.0,0.0,15000000,-4006000000.0,19311000000,0.0,1088000000,-1664000000.0,-1000000.0,0.0,0.0,-2160000000.0,-3825000000,-4607000000.0,0.0,-168000000.0,-588000000.0,4397000000.0,1342000000,-409000000.0,-1804000000,18060000000,19864000000,1088000000,-3031000000.0,-1943000000,Q3-2014,2014,-194000000.0,43002000000,1994000000.0,19311000000,23624000000.0,1.0609098605355791,1.2868154881254734,0.9375336384907536,Q3-2014,24.6504,1.285781064139338
Q3-2015,0,1443571200000,2015-10-21 00:00:00,2015-10-21 11:16:04,38843000000,33564000000,5279000000,0.135906,0.0,4282000000,0.0,1506000000.0,4282000000,37846000000,112000000,2808000000.0,4444000000,0.114409,997000000,0.025667000000000002,0.0,1506000000,0.038771,165000000,1359000000,0.034987,0.83993,0.83993,1618000000,1618000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000217/0001467858-15-000217-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000217/gmq32015.htm,15433000000,8029000000,23462000000,14368000000,16808000000,82341000000,46296000000.0,6083000000.0,0.0,6083000000,8872000000,0.0,44545000000,189000000000,25188000000,0.0,0.0,9208000000.0,0.0,72739000000,40401000000.0,0.0,24799000000.0,40725000000,81623000000,40725000000.0,154362000000,16000000.0,14912000000,-16068000000,-8034000000,34638000000,189000000000,16901000000,57403000000,41970000000,494000000.0,0.0,-5424000000,-4725000000.0,9602000000,1824000000.0,3308000000,-1835000000.0,0.0,-889000000.0,0.0,-6132000000.0,-8856000000,-4595000000.0,0.0,-889000000.0,-592000000.0,9666000000.0,3590000000,-236000000.0,-2194000000,15433000000,17627000000,3308000000,-6367000000.0,-3059000000,Q3-2015,2015,1443000000.0,34638000000,1636000000.0,9602000000,18737000000.0,0.9344780654119523,1.1320062139979927,1.1396660562750565,Q3-2015,28.5127,1.2464284784160413
Q3-2016,0,1475193600000,2016-10-25 00:00:00,2016-10-25 12:01:40,38889000000,33341000000,5548000000,0.14266199999999998,0.0,2400000000,0.0,2306000000.0,2400000000,35741000000,148000000,2534000000.0,6357000000,0.163465,3148000000,0.080948,0.0,3609000000,0.092803,902000000,2773000000,0.071306,1.76175,1.76175,1574000000,1574000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785816000363/0001467858-16-000363-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785816000363/gm2016q3.htm,15932000000,8172000000,24104000000,15427000000,5733000000,76496000000,66488000000.0,0.0,6354000000.0,6354000000,8645000000,0.0,45027000000,217576000000,28628000000,0.0,0.0,35025000000.0,0.0,82535000000,53726000000.0,0.0,0.0,36300000000,90321000000,36300000000.0,172856000000,15000000.0,25417000000,-15906000000,-7953000000,44720000000,217576000000,16817000000,79100000000,63168000000,757000000.0,0.0,-4626000000,-4876000000.0,-6039000000,-1203000000.0,6570000000,-2296000000.0,-3000000.0,-1201000000.0,0.0,-8183000000.0,-11660000000,-5545000000.0,0.0,-1201000000.0,-594000000.0,9460000000.0,2118000000,-3000000.0,-2975000000,15948000000,18923000000,6570000000,-6884000000.0,-314000000,Q3-2016,2016,1807000000.0,44720000000,3823000000.0,-6039000000,19228000000.0,0.7399163991034107,0.9268310413763857,1.2703769301054857,Q3-2016,27.0645,1.0859847190274892
Q3-2017,0,1506729600000,2017-10-24 00:00:00,2017-10-24 10:21:29,33623000000,29403000000,4220000000,0.12550899999999998,0.0,2304000000,0.0,588000000.0,2304000000,31707000000,151000000,3147000000.0,2633000000,0.078309,1916000000,0.056985,0.0,2430000000,0.072272,2316000000,-2981000000,-0.08866,-2.06298,-2.06298,1445000000,1445000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785817000133/0001467858-17-000133-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785817000133/gm2017q3.htm,12792000000,8454000000,21246000000,11789000000,14171000000,76618000000,76953000000.0,0.0,5854000000.0,5854000000,8820000000,0.0,54407000000,229502000000,23265000000,0.0,0.0,30723000000.0,6374000000.0,81849000000,67066000000.0,0.0,0.0,37110000000,105410000000,37110000000.0,187259000000,14000000.0,24230000000,-15566000000,-7783000000,42243000000,229502000000,17274000000,92673000000,79881000000,2214000000.0,0.0,3994000000,-4557000000.0,-5231000000,-898000000.0,2881000000,-2167000000.0,-3000000.0,-1498000000.0,0.0,-5170000000.0,-8838000000,-12742000000.0,0.0,-513000000.0,-556000000.0,16935000000.0,2139000000,153000000.0,-3665000000,12933000000,16598000000,2881000000,-7092000000.0,-4211000000,Q3-2017,2017,-3502000000.0,42243000000,-514000000.0,-5231000000,16689000000.0,0.7920561033121969,0.9360896284621681,1.2955015977263011,Q3-2017,38.794000000000004,0.9298287645089538
Q3-2018,0,1538265600000,2018-10-31 00:00:00,2018-10-31 14:45:38,35791000000,31597000000,4194000000,0.11717999999999999,0.0,2584000000,0.0,97862000000.0,2584000000,34181000000,161000000,3313000000.0,6108000000,0.170657,1610000000,0.044982999999999995,401000000.0,2630000000,0.073482,100000000,2534000000,0.0708,1.77079,1.77079,1431000000,1431000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000104/0001467858-18-000104-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000104/gm2018q3.htm,18435000000,5916000000,24351000000,11334000000,5355000000,74848000000,82783000000.0,0.0,5651000000.0,5651000000,9155000000,0.0,34543000000,225711000000,25147000000,0.0,0.0,23242000000.0,0.0,84116000000,71475000000.0,0.0,0.0,29212000000,103534000000,29212000000.0,187650000000,14000000.0,20865000000,-16642000000,-8321000000,38061000000,225711000000,15071000000,102340000000,83905000000,94000000.0,0.0,573000000,-6519000000.0,-9268000000,-1482000000.0,3673000000,-2211000000.0,0.0,0.0,0.0,-2324000000.0,-4535000000,-7619000000.0,0.0,492000000.0,-586000000.0,12162000000.0,3957000000,-8000000.0,3087000000,18174000000,15087000000,3673000000,-6140000000.0,-2467000000,Q3-2018,2018,3636000000.0,38061000000,2795000000.0,-9268000000,17832000000.0,0.7550763231727614,0.8898188216272767,1.2527288875909341,Q3-2018,34.3292,0.8916781897064149
Q3-2019,0,1569801600000,2019-10-29 00:00:00,2019-10-29 15:32:32,35473000000,31161000000,4312000000,0.121557,0.0,2008000000,0.0,31161000000.0,2008000000,33169000000,206000000,3309000000.0,6137000000,0.173005,2304000000,0.064951,125000000.0,2582000000,0.072788,271000000,2351000000,0.066276,1.63037,1.63037,1442000000,1442000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785819000121/0001467858-19-000121-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785819000121/gm2019q3.htm,20051000000,6725000000,26776000000,11797000000,7051000000,80565000000,81696000000.0,0.0,5408000000.0,5408000000,8496000000,0.0,36672000000,231529000000,21406000000,0.0,0.0,23783000000.0,0.0,84252000000,69692000000.0,0.0,0.0,28814000000,102723000000,28814000000.0,186975000000,14000000.0,27609000000,-17994000000,-8997000000,44554000000,231529000000,15221000000,104466000000,84415000000,155000000.0,0.0,-699000000,-5270000000.0,-3687000000,-269000000.0,6553000000,-1376000000.0,0.0,-917000000.0,0.0,700000000.0,-1551000000,-8627000000.0,0.0,49000000.0,-608000000.0,10081000000.0,-2133000000,-151000000.0,2718000000,19790000000,17072000000,6553000000,-5675000000.0,878000000,Q3-2019,2019,3367000000.0,44554000000,2828000000.0,-3687000000,21506000000.0,0.8162180126287804,0.9562384275744196,1.2250246089443713,Q3-2019,36.3225,0.912521053539266
