,Period,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,EBITDA Margin,Operating Income,Operating Margin,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Profit Margin,Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),sec_filing_link,sec_statement_link,Cash and Cash Equivalents,Short Term Investments,Cash And Short-Term Investments,Inventory,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Long-term Investments,Tax Assets,Total Assets,Accounts Payables,Short-term Debt,Income Tax Payables,Deferred Revenue,Total Current Liabilities,Long-term Debt,Deferred Revenue Non-Current,Deferred Tax Liabilities Non-Current,Total Non-Current Liabilities,Total Liabilities,Common Stock,Retained Earnings,Total Shareholders Equity,Total Liabilities & Stockholders Equity,Total Investments,Total Debt,Net Debt,Deferred Income Tax,Stock-Based Compensation (SBC),Change in Working Capital,Accounts Receivables,Net Cash Provided by Operating Activities,Investments in PP&E,Acquisitions (Net),Purchase of Investments,Sales/Maturities of Investments,Net Cash used for Investing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Net Cash Used Provided by Financing Activities,Effect of Exchange Rate Changes on Cash,Net Change in Cash,Cash at End of Period,Cash at Beginning of Period,Operating Cash Flow,Capital Expenditure (capex),Free Cash Flow,QQ-YYYY
130,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,6478250000.0,10097000000.0,16575250000.0,989000000.0,32834750000.0,10326000000.0,0.0,0.0,0.0,42699750000.0,0.0,91431250000.0,13972000000.0,2991000000.0,0.0,1885750000.0,28982250000.0,23433750000.0,699250000.0,0.0,35662250000.0,64644500000.0,10050250000.0,17600000000.0,26786750000.0,91431250000.0,52796750000.0,28620750000.0,22142500000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,FY-2018
131,FY,66398750000.0,40939000000.0,25459750000.0,0.09585925,3559000000.0,4176250000.0,0.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,21386500000.0,0.080523,17724500000.0,0.066735,18225750000.0,0.06862225,2968000000.0,14882750000.0,0.0560355,0.7441225,0.7441225,5000109000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,6478250000.0,10097000000.0,16575250000.0,989000000.0,32834750000.0,10326000000.0,0.0,0.0,0.0,42699750000.0,0.0,91431250000.0,13972000000.0,2991000000.0,0.0,1885750000.0,28982250000.0,23433750000.0,699250000.0,0.0,35662250000.0,64644500000.0,10050250000.0,17600000000.0,26786750000.0,91431250000.0,52796750000.0,28620750000.0,22142500000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,FY-2018
192,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,6710500000.0,41972500000.0,580750000.0,0.0,19142250000.0,0.08350528281145031,15336000000.0,0.06989473638291002,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,5072250000.0,13473000000.0,18545250000.0,1213750000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,35114500000.0,60318000000.0,8966750000.0,24582500000.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,FY-2017
193,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,6710500000.0,41972500000.0,580750000.0,0.0,19142250000.0,0.08350528281145031,15336000000.0,0.06989473638291002,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,5072250000.0,13473000000.0,18545250000.0,1213750000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,35114500000.0,60318000000.0,8966750000.0,24582500000.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,FY-2017
194,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,6710500000.0,41972500000.0,580750000.0,0.0,19142250000.0,0.08350528281145031,15336000000.0,0.06989473638291002,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,5072250000.0,13473000000.0,18545250000.0,1213750000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,35114500000.0,60318000000.0,8966750000.0,24582500000.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,FY-2017
195,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,6710500000.0,41972500000.0,580750000.0,0.0,19142250000.0,0.08350528281145031,15336000000.0,0.06989473638291002,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,5072250000.0,13473000000.0,18545250000.0,1213750000.0,32161250000.0,8445750000.0,1429250000.0,574500000.0,2003750000.0,0.0,0.0,93829750000.0,12262250000.0,13473000000.0,0.0,1887000000.0,25203500000.0,24301750000.0,709000000.0,7876000000.0,35114500000.0,60318000000.0,8966750000.0,24582500000.0,33511750000.0,60318000000.0,0.0,28920000000.0,23847750000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,FY-2017
256,FY,53909750000.0,32844000000.0,21065750000.0,0.09769,2511250000.0,3548500000.0,0.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,18333250000.0,0.08501825,15006000000.0,0.0695885,15343000000.0,0.07115125,3921250000.0,11421750000.0,0.05296699999999999,0.519145,0.519145,5500281000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,5121000000.0,11667750000.0,16788750000.0,533000000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,19751500000.0,18856750000.0,732500000.0,0.0,28607750000.0,48359250000.0,7812750000.0,24091000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,FY-2016
257,FY,53909750000.0,32844000000.0,21065750000.0,0.09769,2511250000.0,3548500000.0,0.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,18333250000.0,0.08501825,15006000000.0,0.0695885,15343000000.0,0.07115125,3921250000.0,11421750000.0,0.05296699999999999,0.519145,0.519145,5500281000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,5121000000.0,11667750000.0,16788750000.0,533000000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,19751500000.0,18856750000.0,732500000.0,0.0,28607750000.0,48359250000.0,7812750000.0,24091000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,FY-2016
258,FY,53909750000.0,32844000000.0,21065750000.0,0.09769,2511250000.0,3548500000.0,0.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,18333250000.0,0.08501825,15006000000.0,0.0695885,15343000000.0,0.07115125,3921250000.0,11421750000.0,0.05296699999999999,0.519145,0.519145,5500281000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,5121000000.0,11667750000.0,16788750000.0,533000000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,19751500000.0,18856750000.0,732500000.0,0.0,28607750000.0,48359250000.0,7812750000.0,24091000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,FY-2016
259,FY,53909750000.0,32844000000.0,21065750000.0,0.09769,2511250000.0,3548500000.0,0.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,18333250000.0,0.08501825,15006000000.0,0.0695885,15343000000.0,0.07115125,3921250000.0,11421750000.0,0.05296699999999999,0.519145,0.519145,5500281000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,5121000000.0,11667750000.0,16788750000.0,533000000.0,26717250000.0,6752500000.0,1353500000.0,801500000.0,2155000000.0,42607500000.0,6504750000.0,80421500000.0,9323500000.0,2026250000.0,0.0,2020000000.0,19751500000.0,18856750000.0,732500000.0,0.0,28607750000.0,48359250000.0,7812750000.0,24091000000.0,32062250000.0,80421500000.0,54275250000.0,21758000000.0,16637000000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,FY-2016
