,Unnamed: 0,date,symbol,filing_date,accepted_date,period,net_revenue,cost_of_sales,gross_profit_margin_non,gross_profit_margin_ratio,r_n_d,g_n_a,s_n_m,other_income,total_opex,cost_expenses,interest_expense,d_n_a,ebitda_non,ebitda_margin,operating_income,operating_margin,total_other_income,pretax_income_non,pretax_income_margin,income_tax_expense,net_income,profit_margin,eps_non,eps_diluted,shares_outstanding_non,shares_outstanding_diluted,sec_filing_link,sec_statement_link,pct_chg_temp
0,0,2020-09-26,AAPL,2020-10-30,2020-10-29 18:06:25,FY,274515000000.0,169559000000,104956000000,0.38233247727810904,18752000000,19916000000,0.0,803000000.0,38668000000,208227000000,0.0,11056000000.0,77344000000,0.281747809773601,66288000000.0,0.24147314354406896,803000000.0,67091000000,0.244398302460703,9680000000.0,57411000000,0.20913611278072197,3.31,3.28,17352119000,17528214000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0551208037697848
1,0,2019-09-28,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,260174000000.0,161782000000,98392000000,0.378178,16217000000,18245000000,0.0,1807000000.0,34462000000,196244000000,3576000000.0,12547000000.0,81860000000,0.314636,63930000000.0,0.24572,422000000.0,65737000000,0.252666,10481000000.0,55256000000,0.212381,2.97145,2.97145,18595652000,18595652000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,0.9795892241947326
2,0,2018-09-29,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,265595000000.0,163756000000,101839000000,0.383437,14236000000,16705000000,0.0,2005000000.0,30941000000,194697000000,3240000000.0,10903000000.0,85546000000,0.322092,70898000000.0,0.26694,-441000000.0,72903000000,0.274489,11872000000.0,59531000000,0.224142,2.97649,2.97649,20000436000,20000436000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,1.158619576502613
3,0,2017-09-30,AAPL,2017-11-03 00:00:00,2017-11-03 08:01:37,FY,229234000000.0,141048000000,88186000000,0.3846986049189911,11581000000,15261000000,0.0,-133000000.0,26842000000,167890000000,2323000000.0,0.0,76569000000,0.33402113124580124,61344000000.0,0.2795789455316401,-133000000.0,64089000000,0.2795789455316401,15738000000.0,48351000000,0.21092420845075335,2.3175,2.3025,20868968000,21006768000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,1.0630451819939806
4,0,2016-09-24,AAPL,2016-10-26 00:00:00,2016-10-26 16:42:16,FY,215639000000.0,131376000000,84263000000,0.39076,10045000000,14194000000,0.0,1348000000.0,24239000000,155615000000,1456000000.0,10505000000.0,73333000000,0.340073,60024000000.0,0.278354,-1195000000.0,61372000000,0.284605,15685000000.0,45687000000,0.21186799999999997,2.07658,2.07658,22001124000,22001124000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,0.9226579380869863
5,0,2015-09-26,AAPL,2015-10-28 00:00:00,2015-10-28 16:31:09,FY,233715000000.0,140089000000,93626000000,0.400599,8067000000,14329000000,0.0,1285000000.0,22396000000,162485000000,733000000.0,11257000000.0,84505000000,0.361573,71230000000.0,0.304773,-903000000.0,72515000000,0.310271,19121000000.0,53394000000,0.228458,2.30422,2.30422,23172276000,23172276000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,1.2785634180365983
6,0,2014-09-27,AAPL,2014-10-27 00:00:00,2014-10-27 17:11:55,FY,182795000000.0,112258000000,70537000000,0.38588,6041000000,11993000000,0.0,980000000.0,18034000000,130292000000,384000000.0,7946000000.0,61813000000,0.33815500000000004,52503000000.0,0.287223,-311000000.0,53483000000,0.292585,13973000000.0,39510000000,0.216144,1.6131799999999998,1.6131799999999998,24492000000,24492000000,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,1.0695395237259375
7,0,2013-09-28,AAPL,2013-10-30 00:00:00,2013-10-29 20:38:28,FY,170910000000.0,106606000000,64304000000,0.376245,4475000000,10830000000,0.0,1156000000.0,15305000000,121911000000,136000000.0,6757000000.0,57048000000,0.33379000000000003,48999000000.0,0.286695,-24000000.0,50155000000,0.293459,13118000000.0,37037000000,0.216705,1.41969,1.41969,26088000000,26088000000,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,1.0920208551639532
8,0,2012-09-29,AAPL,2012-10-31 00:00:00,2012-10-31 17:07:19,FY,156508000000.0,87846000000,68662000000,0.438712,3381000000,10040000000,0.0,522000000.0,13421000000,101267000000,1088000000.0,3277000000.0,60128000000,0.384185,55241000000.0,0.35296,-566000000.0,55763000000,0.356295,14030000000.0,41733000000,0.266651,1.57673,1.57673,26468000000,26468000000,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,1.4458147419375698
9,0,2011-09-24,AAPL,2011-10-26 00:00:00,2011-10-26 16:35:25,FY,108249000000.0,64431000000,43818000000,0.404789,2429000000,7599000000,0.0,415000000.0,10028000000,74459000000,519000000.0,1814000000.0,36538000000,0.337537,33790000000.0,0.312151,-104000000.0,34205000000,0.315984,8283000000.0,25922000000,0.23946599999999998,0.9883299999999999,0.9883299999999999,26228000000,26228000000,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,1.6596243771559984
